page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
RTL Info,RTLInfo,7357986105,#7357986105,20318,14572157,"717,2",oui
Le Soir,lesoirbe,150606180090,#150606180090,17656,4302469,"243,7",oui
DH.be,dhnet,123096413226,#123096413226,15049,5922245,"393,5",oui
La Libre,lalibre.be,137382829624,#137382829624,14673,2347968,160,oui
RTBF Info,rtbfinfo,143068588877,#143068588877,13338,9914462,"743,3",oui
Le Vif,Leviflexpress,74005234816,#74005234816,12834,1718409,"133,9",oui
lavenir.net,lavenir.net,120603891305626,#120603891305626,12292,2665474,"216,8",oui
Sudinfo.be,sudpresse,157639210239,#157639210239,11718,2468594,"210,7",oui
LN24,LN24LesNews24,2221912484729894,#2221912484729894,11163,1534865,"137,5",oui
7sur7.be,7sur7.be,41939437980,#41939437980,10083,2192922,"217,5",oui
Metro Belgique,metrobelgique,20132317899,#20132317899,8256,678989,"82,2",oui
RTBF Sport,RTBFSport,246155913915,#246155913915,8167,6774565,"829,5",oui
Walfoot,Walfoot,21805153429,#21805153429,7583,906291,"119,5",non
Nordpresse,nordpressed,133355814014852,#133355814014852,6690,3350290,"500,8",non
Lions de l'Atlas,lionsdelatlas.net,126411060759664,#126411060759664,6099,1241999,"203,6",non
BX1,BX1officiel,133949403437045,#133949403437045,5538,507780,"91,7",oui
Flair,flairmag,124702270550,#124702270550,5452,1732092,"317,7",non
Je me marie,sudpresse.mariage,286383074784698,#286383074784698,5284,465926,"88,2",non
RTL Sport,RTLSport,394087391006,#394087391006,4997,2212752,"442,8",oui
L'Echo,lechobe,12220550551,#12220550551,4738,183607,"38,8",oui
L'Interview.CD,LINTERVIEW.CD,617297852106478,#617297852106478,4394,237440,54,non
Anthony Dufrane,Anthonydufranedufrane,377404002387615,#377404002387615,4280,417515,"97,6",non
L'Avenir Huy-Waremme,lavenirHW,201771443176133,#201771443176133,4275,163736,"38,3",oui
A tous ceux qui aiment rire de tout-3,atousceuxquiaimentriredetout3,373427533067900,#373427533067900,4209,920692,"218,7",non
Energies Reiki,soigner,458707994230701,#458707994230701,4008,1087677,"271,4",non
Humour:Une bonne thérapie,Unebonnetherapie,102166016898222,#102166016898222,3966,2228851,562,non
Images féeriques et animées,Leclubgifs,595055550634993,#595055550634993,3966,1077856,"271,8",non
Femmes d'Aujourd'hui,femmesdaujourdhui,46574924169,#46574924169,3960,183953,"46,5",non
F1i,F1iMag,333408786710357,#333408786710357,3915,1236125,"315,7",non
Les Sports +,LesSportsPlus,771838079669069,#771838079669069,3864,117781,"30,5",oui
Paris Match Belgique,parismatchbe,427278494063690,#427278494063690,3789,664423,"175,4",non
Confessions de la Parole de Dieu,MOKLLK,519398878100446,#519398878100446,3785,2887300,"762,8",non
Disneyland Paris bons plans,DisneylandParisBonsPlans,454213324646419,#454213324646419,3632,2828193,"778,7",non
L'Avenir Wallonie picarde,lavenirWP,684276025011998,#684276025011998,3542,218707,"61,7",oui
Topibuzz - Le mag de l'insolite,lescrieursduweb.insolite,593125820724504,#593125820724504,3526,752051,"213,3",non
Notélé,notele.be,166956476700086,#166956476700086,3325,1183727,356,oui
VivaCité - RTBF,Vivacite,179497145428273,#179497145428273,3251,1717441,"528,3",oui
Sport/Foot Magazine,sportfootmagazine,83000482618,#83000482618,3099,204296,"65,9",non
L'Avenir Verviers,lavenirVV,314304011972961,#314304011972961,3077,153203,"49,8",oui
CELEBRITY,celebritywaterloo,188805997857666,#188805997857666,3063,171975,"56,1",non
LaCapitale.be,lacapitale,118030481568607,#118030481568607,3032,58848,"19,4",oui
MSNBelgique,msnbelgique,181683231684,#181683231684,2981,263249,"88,3",oui
L'Avenir Luxembourg,lavenirluxembourg,275547282532230,#275547282532230,2977,240231,"80,7",oui
Classic 21 - RTBF,classic21,27027018880,#27027018880,2950,1971975,"668,5",non
Sudinfo Sports,SudinfoSports,134027180001930,#134027180001930,2933,177925,"60,7",oui
Humour en Tous Genres,HTGCR,448566082012173,#448566082012173,2913,2665479,915,non
L'Avenir Namur,lavenirNR,116216242068486,#116216242068486,2824,145361,"51,5",oui
Minutepeople Mag,minutepeoplemag,212613792093705,#212613792093705,2820,202306,"71,7",non
RTC Télé Liège,RTCteleliege,148751911846615,#148751911846615,2746,636911,"231,9",oui
Vivre Ici,VivreIci.be,655644834509662,#655644834509662,2646,234594,"88,7",oui
Le Soir Sports,LeSoirSports,123902277513,#123902277513,2536,23643,"9,3",oui
DH Charleroi,dh.charleroi,114374688594065,#114374688594065,2509,117949,47,oui
RTBF,rtbf,239915266217,#239915266217,2500,1605156,"642,1",non
Dh Liège,dh.liege,470663999674243,#470663999674243,2485,131332,"52,8",oui
Faire Play,FairePlay48FM,454876371540495,#454876371540495,2473,659233,"266,6",non
Le monde part en cacahuète,mondepartencacahuete,102458364465254,#102458364465254,2422,1103888,"455,8",non
La Première - RTBF,LaPremiereRTBF,194298783928090,#194298783928090,2421,1418176,"585,8",non
Télésambre,telesambre,134148533265361,#134148533265361,2370,466313,"196,8",oui
Les Sourates Salvatrices,TawhidSunnah,340338126526,#340338126526,2358,340616,"144,5",non
Vitesse info,vitesseinfo,100163091455662,#100163091455662,2302,309344,"134,4",non
RTL People & Buzz,RTL.be,158406914217420,#158406914217420,2249,131895,"58,6",non
La Libre Afrique,lalibreafrique,1857146044526339,#1857146044526339,2215,194078,"87,6",oui
Darifton & compagnie,dariftonetco,110087779063228,#110087779063228,2214,3338832,"1508,1",non
Contrepoints,Contrepoints,249631556976,#249631556976,2193,123803,"56,5",oui
Passager du temps,PassagerduTemps,248397951936225,#248397951936225,2146,1335547,"622,3",non
DH Mons,dhmons,284830706305,#284830706305,2138,153360,"71,7",oui
MONS INFO,Monsinfo,1433599616684024,#1433599616684024,2124,162912,"76,7",oui
Bisoutendresse,bisoutendresse,140617252778783,#140617252778783,2045,8666761,4238,non
Alertes Contrôles De Police - Infos Bruxelles,controle.police.bruxelles,613090558747535,#613090558747535,2032,446806,"219,9",non
