pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
belgique,2020-06,media,610,floyd,0.027724008232261378,george floyd,0.02725414765895743,policières,0.0253271384386844,violences policières,0.022674513930308768,contre racisme,0.01672410597174438,mort george,0.01210133360303528,contre violences,0.010166048461521597,rassemblements,0.00995180008545237
belgique,2020-06,media,594,coronavirus,0.0641941074500107,coronavirus belgique,0.05148519971270877,hospitalisations,0.04983834793803176,nouvelles hospitalisations,0.036666692998632455,nouveaux cas,0.035411224563851686,dernières 24,0.029456826255442527,covid 19,0.025836001162671138,santé publique,0.023796551513183873
belgique,2020-06,media,449,déconfinement,0.07503283110907007,conseil national,0.06562413053529269,national sécurité,0.0654707560836192,phase déconfinement,0.04569649788382979,sophie wilmès,0.025226891664071834,première ministre,0.022665063041865684,conférence presse,0.01615272849237023,réouverture,0.01613037051617571
belgique,2020-06,media,420,congo,0.0513624558656595,libre afrique,0.033381651384741126,république démocratique,0.019971158067764252,démocratique congo,0.01945717348437996,roi philippe,0.017318191836401264,tshisekedi,0.016096890567811016,indépendance congo,0.012774449373767493,burundi,0.011458984178584675
belgique,2020-06,media,392,covid 19,0.027595573194425252,covid,0.02757366923288937,école communale,0.019939965205581667,testé positif,0.018755334249195732,positif covid,0.017815627594303798,coronavirus,0.016907327197363223,maternelles,0.016789798359054024,djokovic,0.01593102642565231
belgique,2020-06,media,347,anderlecht,0.03139220379521865,thomas meunier,0.025101411152756114,thomas,0.02356075548723582,preud homme,0.02260392904965016,michel preud,0.018961657961301927,antwerp,0.018788088248232918,diable rouge,0.0184200877256446,chelsea,0.013932762370682623
belgique,2020-06,media,331,réouverture,0.0398875815231058,rouvrir,0.03222122415020868,horeca,0.028852098914724136,1er juillet,0.028398870468643315,portes,0.02130614717089425,cinémas,0.014941356353702515,rouvrir portes,0.013094352132106841,cafés restaurants,0.012429650731918719
belgique,2020-06,media,315,milliards euros,0.021816422055090923,économie,0.01844688603399782,coronavirus,0.017224118334227885,lufthansa,0.01496629483221352,plan relance,0.013963390323534691,banque,0.010963205567439002,crise coronavirus,0.010771439474201254,pandémie,0.010707158699454647
belgique,2020-06,media,301,open vld,0.026242374254581747,robert vertenueil,0.02377162028015092,vlaams belang,0.022456719974360908,vlaams,0.02239879796539109,louis,0.02115955258577469,louis bouchez,0.02005045150942885,georges louis,0.01996980621032667,georges,0.01824190425284662
belgique,2020-06,media,286,hamilton,0.02484282793353658,lewis,0.02049514034880174,lewis hamilton,0.020309401411070068,grand prix,0.015547992852569924,tour france,0.013883804752414084,mercedes,0.012509845631966457,rallye,0.011760782088860992,tour wallonie,0.010836147159379236
belgique,2020-06,media,281,trump,0.10264566628170918,donald trump,0.068180617041434,président américain,0.029862819501894525,joe,0.017916244406157696,joe biden,0.017707558109303922,etats unis,0.014339780160625492,john bolton,0.014192884985400629,réseau social,0.01225473948370958
belgique,2020-06,media,240,orages,0.0395376704826586,averses,0.03848770130246429,après midi,0.027081897008878534,1722,0.019875588743826254,ouest,0.01838940118170585,numéro 1722,0.018329524514233222,météorologique,0.016404685460895657,institut royal,0.016299260667302935
