pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
belgique,2020-06,media,1049,été,0.011075167659663687,un,0.010461653594193432,post,0.010003390675923866,est,0.008986052128098342,deux,0.008292762095004999,une,0.007945384781332755,prime,0.006571613677141067,qu,0.006128571127927213
belgique,2020-06,media,789,été,0.012509398172102905,crise,0.00720679384813285,mois,0.007020982474988917,confinement,0.005388981674058491,bien,0.004842968006265289,mesures,0.0047866621387938684,pays,0.004730008757504137,année,0.0042776473920271675
belgique,2020-06,media,701,été,0.018523646662483392,juillet,0.009983919051474556,réouverture,0.008581516856222859,nouvelle,0.008436109105359956,lundi,0.007852008919423462,police,0.0065939429377323755,juin,0.006273661704000672,mercredi,0.005505752553599203
belgique,2020-06,media,533,grand débat,0.012618741821204552,débat,0.01093190138047233,police,0.010799208138607129,été,0.01012461026229499,soir,0.009270507520398345,nouvelle,0.008913683651123118,crise,0.008505969577041314,mesures,0.00786452170552638
belgique,2020-06,media,473,cas,0.047061157593382724,nouveaux,0.04538290538339575,décès,0.04071991816852627,nouvelles,0.0405485792852697,nouveaux cas,0.03261177981007702,été,0.0210635274814328,jour,0.020101117892976743,nombre,0.016507582640844395
belgique,2020-06,media,354,saison,0.009538925502779572,été,0.008244037296850968,équipe,0.005801943774107052,qu,0.005512899914383678,d2,0.005189663519877019,fin,0.005045389654099854,contrat,0.004891610935259628,soir,0.004818638624178756
belgique,2020-06,media,273,https,0.10014226575658842,www,0.06624099116331277,https www,0.059729647259295644,rtbf be,0.019861141780966037,www rtbf,0.019650106559519046,http,0.017409506397709454,www instagram,0.01425517569830386,www telesambre,0.012536905235958498
belgique,2020-06,media,243,été,0.013901128205396842,cas,0.00733644977898488,monde,0.006819432633563573,crise,0.00615527233241946,juin,0.005261981737434253,pays,0.0052464697978627925,mois,0.005160659658642025,jours,0.004754899392237674
belgique,2020-06,media,213,été,0.010894487402687994,première,0.006649362532064989,pays,0.0061540602316525524,cas,0.006049988642454787,mois,0.005474384318844199,monde,0.004479513357011242,violences,0.004356229143523678,fin,0.004254903469808584
belgique,2020-06,media,205,été,0.014550331860496651,juillet,0.008539472176770486,plan,0.007983173753276727,décisions,0.007002756313360095,succès,0.006734550408068162,propose,0.006364188967559904,promos,0.006340617033309111,travaux,0.006306631171778054
belgique,2020-06,media,200,été,0.01999613868770784,crise,0.008306403463662428,mercredi,0.0075455776393045315,juin,0.007374040223410089,inquiet effets,0.0070327036840117435,été particulier,0.006577262874206717,particulier été,0.006510458234265367,la,0.00647493200715301
belgique,2020-06,media,192,juillet,0.007578546197029523,réouverture,0.0066303390897357066,première,0.006129944106866949,crise,0.0057839014359197735,dernier,0.005619125001921254,mesures,0.005417179812223558,premier,0.005407412633900612,pays,0.0053896659739918066
