pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
belgique,2020-06,media,734,millions euros,0.029783974561541096,milliards euros,0.014300388165353853,000 euros,0.009543962562191349,crise coronavirus,0.006049682689520023,milliard euros,0.0057478292438891505,derniers jours,0.005237480556999334,200 millions,0.005083044145653144,300 euros,0.00479081893690328,crise sanitaire,0.004326897858866211,10 milliards,0.004323073328034624,semaine précédente,0.004250514984293172,trois quarts,0.004156301112120548,augmenté belgique,0.004091313886066468,rapport semaine,0.004051421395880199,chiffre affaires,0.003982327435337743,baisse 10,0.0038163702072913975,milliards dollars,0.0038155552194236676,nouvelles infections,0.003692393499969971,cours derniers,0.0036432985579655758,500 millions,0.003538300250553299
belgique,2020-06,media,529,conseil national,0.038622308647557294,national sécurité,0.038431056799962136,réouverture horeca,0.010185947873760088,première ministre,0.009413227055554087,déterminer modalités,0.009257512118661989,argent travail,0.009139227689454552,travail santé,0.009139227689454552,santé horoscope,0.009139227689454552,œuvre phase,0.008967846835158817,modalités mise,0.008967846835158817,objectif déterminer,0.008967846835158817,partir lundi,0.008920268090184568,mise œuvre,0.008770002158489037,lundi prochain,0.008415228107332438,contacts sociaux,0.008249608000614219,conférence presse,0.007829990107646755,sécurité mercredi,0.007729213842739401,scolaire septembre,0.007717593342505395,élargissement bulle,0.007494176477012086,rentrée scolaire,0.007422734435799791
belgique,2020-06,media,430,06 2020,0.009111723579548335,union européenne,0.007818991282402677,première fois,0.007407819734494398,grosfilley rédaction,0.00673595480162517,rédaction bx1,0.00673595480162517,une infirmière,0.005965758777675147,foyer contamination,0.005468612212868884,etats unis,0.0052262701532681905,allemagne annoncé,0.005105170264369677,grand abattoir,0.005105170264369677,état urgence,0.004783214355870015,coronavirus apparition,0.004707903760487868,lié coronavirus,0.004645652347986937,reconfinement local,0.004645652347986937,annoncé mardi,0.004410685796103534,local lié,0.00424934200888821,amérique latine,0.004244099766739541,mardi première,0.004236111916341474,organisation mondiale,0.004136634786184713,européenne envisage,0.004119415790426885
belgique,2020-06,media,429,violences policières,0.038706605145232505,contre racisme,0.03437970156470536,contre violences,0.021435908473751333,milliers personnes,0.019154298370013347,racisme violences,0.016411600584931248,police bruxelles,0.015288874337929397,capitale ixelles,0.014774317541250356,bruxelles capitale,0.014621604923757244,zone police,0.013917717950428763,manifestation contre,0.01293020873937805,palais justice,0.01238662830236654,personnes manifesté,0.01149658629642481,justice bruxelles,0.010603334467906221,manifestations contre,0.009423138356215631,etats unis,0.00914573635701365,manifester contre,0.008551429882336006,personnes rassemblées,0.008233423508212698,incidents éclaté,0.008028709484817613,droits humains,0.007357815229711877,règles distanciation,0.007298718917653592
belgique,2020-06,media,319,https bit,0.034371155976263106,https www,0.032292223805461366,rtbf be,0.027323102794513904,www rtbf,0.026744222993380407,be sport,0.026056484082612446,www telesambre,0.025206596367366933,telesambre be,0.02502416493350461,18h www,0.013962410302428457,be attend,0.013962410302428457,vous 18h,0.013871194585497296,18h jt,0.013700584042380375,jt 18h,0.012960791432299064,invite découvrir,0.012912759935398713,culture made,0.012912759935398713,redécouvrir incroyable,0.012912759935398713,be https,0.012867432594578463,découvrir redécouvrir,0.012579649126308835,made belgium,0.012579649126308835,plus lesoir,0.011294772120844026,https plus,0.011294772120844026
belgique,2020-06,media,299,dernières 24,0.0713966968744457,24 heures,0.07051789831279802,nouvelles hospitalisations,0.06612886253578862,nouveaux cas,0.05491880453481551,cours dernières,0.04515411190265426,été rapportés,0.037637191513024484,santé publique,0.03726449423158657,cas confirmés,0.030716835334034066,19 décès,0.029977234605626006,total cas,0.029683522246204703,jour coronavirus,0.02888500999420683,nombre total,0.0264068278097407,nouvelles infections,0.02608457433430015,19 été,0.023189417793746014,décès supplémentaires,0.021247349912526386,belgique 19,0.021201315788488006,cas été,0.019403369469275386,25 nouvelles,0.019307038827381138,19 nouvelles,0.019112099656136364,évolution épidémie,0.01873643761676348
belgique,2020-06,media,276,coupe italie,0.01570915403310622,meilleur buteur,0.015420106213333522,buteur histoire,0.013967528613181733,finale coupe,0.012952674882674934,premier league,0.011665222683820772,inter milan,0.010127569697211207,mertens devenu,0.009958085492198452,saison prochaine,0.009894915105040198,ligue champions,0.00864681127953323,naples juventus,0.008439447419979429,histoire club,0.008268014232337096,devenu meilleur,0.00803233787284765,genou terre,0.007871660789752703,club bruges,0.007693515704126907,départ chelsea,0.007687270277329175,pro league,0.007641811446470883,borussia dortmund,0.0074852523995713885,annoncé départ,0.007225698267214831,real madrid,0.00686772770205205,flamand expérience,0.006823516682928601
belgique,2020-06,media,265,ans prison,0.058964229403685606,12 ans,0.027761383071398468,13 ans,0.022092420473863762,cinq ans,0.019691884745346708,condamné 12,0.018339364466178454,été condamné,0.01727099327896004,ans été,0.016583695734830126,mois prison,0.012104785809412637,prison ferme,0.011602321896839931,26 ans,0.011545775993660754,prison sursis,0.011199220384913082,18 mois,0.010712755547748259,25 ans,0.0104666580097117,44 ans,0.010415146648626732,prison deux,0.010194458488530442,dix ans,0.009858912599485648,trois ans,0.009426137390692025,viol attentat,0.00926682941918822,ulb condamné,0.00926682941918822,16 ans,0.009202121794815415
belgique,2020-06,media,249,open vld,0.009671454742032414,autorité belge,0.007694214949461402,belge concurrence,0.007694214949461402,libre afrique,0.007027098881676177,couvin art,0.006706922084688731,chef opposition,0.006476499920129837,mr open,0.006075628129865977,économie britannique,0.005486211148649463,réseaux sociaux,0.004743576654662455,communiqué envoyé,0.004687789256890694,lundi cruelle,0.004687789256890694,200 communiqué,0.004687789256890694,abc annoncé,0.004687789256890694,rentrée fondamental,0.004687789256890694,sympathisants tombée,0.004687789256890694,midi abc,0.004687789256890694,demandées royal,0.004687789256890694,cruelle matricule,0.004687789256890694,refuser imposition,0.004687789256890694,annoncé refuser,0.004687789256890694
belgique,2020-06,media,233,bilans nouvelles,0.03428852754171992,nouveaux bilans,0.03428852754171992,mesures faits,0.0341850699899729,faits marquants,0.03408351084944871,évolutions pandémie,0.03289671366054087,coronavirus monde,0.03039089620244882,dernières évolutions,0.029675564003817927,nouvelles mesures,0.027164090842729912,nouveaux cas,0.025442530135146302,marquants point,0.02537567511871392,point dernières,0.024500651838758266,millions cas,0.019948144662999774,cas coronavirus,0.018626323041516152,cas confirmés,0.014404745203400647,000 cas,0.013863023786797355,monde coronavirus,0.013572900262645361,sources officielles,0.01291989597859586,cas covid,0.012873749583200257,partir sources,0.01208287620882243,nombre cas,0.011834750591665005
