pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
belgique,2020-06,nonmedia,1454,street punchline,0.013192641970136067,https www,0.010823732335705908,instagram com,0.0074375877770047494,www instagram,0.007387321380891151,com watch,0.005754546948924054,rtbf auvio,0.00517239355111599,punchline https,0.0047078045190666554,insta https,0.004647358533881496,next street,0.004563249544402833,rejoins insta,0.004563249544402833,com street,0.004563249544402833,www youtube,0.004389454055355749,accounts login,0.0043833901498024535,com accounts,0.0043833901498024535,youtube com,0.004285731853037005,login next,0.004275889368599299,facebook com,0.0037263170695696402,www rtbf,0.0035983299924269643,rtbf be,0.003543941475924116,www facebook,0.003418314432239795
belgique,2020-06,nonmedia,1048,photos from,0.01400106498832759,https www,0.011937643968633742,belgium france,0.010675273283438562,centre ville,0.010055858246861395,www artemio,0.009820546733217765,love amour,0.008770417085370937,chezfrancistv com,0.00862177743841121,asbl louvière,0.008616296510748925,www chezfrancistv,0.008602169261797028,belgique belgië,0.008484144059175358,soutien economie,0.008406142937316024,louvière centre,0.00827892379759333,commerces louviérois,0.008066717148017759,economie belgique,0.007854435117806764,belgië kmo,0.007854435117806764,coronavirus soutien,0.007827513745344001,wallonie bruxelles,0.007774633468269109,france easyclothesvetements,0.007510496643891614,amour belgium,0.006757537547534597,denis ducarme,0.0056122444138921096
belgique,2020-06,nonmedia,921,plus rdc,0.025301777806243694,assemblée nationale,0.020501312732993722,nouveaux cas,0.012890750783516565,président république,0.012062448782579487,république démocratique,0.011678002339468477,démocratique congo,0.011515541258082306,procès 100,0.011152171866794887,cour constitutionnelle,0.010922643590605885,vital kamerhe,0.010270327919750572,cas confirmés,0.009572407091317497,propositions lois,0.00897577227818612,chef état,0.008023191234629462,premier ministre,0.007995971602894664,chef etat,0.007954894529416667,ministre justice,0.006979686786371722,kasaï central,0.006779033919937447,conseil ministres,0.006556306861681355,vice président,0.006102189934685085,palais peuple,0.005715015646161902,19 rdc,0.0056841560651786135
belgique,2020-06,nonmedia,554,offres emploi,0.059207262764286575,emploi jsp,0.05194966814040541,recherche offres,0.05194966814040541,jsp index,0.05194966814040541,index jsp,0.051838164530559214,be recherche,0.051838164530559214,plein https,0.04030569716402862,be fr,0.03178038456943403,charleroi un,0.029760856448328512,offre emploi,0.02347573522381817,recrute un,0.02184217186092129,un employé,0.018274306997999337,emploi temps,0.017986106762161322,fr jobs,0.0177571606926569,temps https,0.01654159877482339,offres demploi,0.012638885832870117,fr candidats,0.011091598865400207,un assistant,0.010954710066648977,un vendeur,0.010245917004918717,be job,0.009706658215186154
belgique,2020-06,nonmedia,482,mama africa,0.10051117165435411,africa news,0.10010745252233562,vous mama,0.09271849581286368,news infos,0.09148224654174628,abonnez vous,0.08667297638223849,critik info,0.020463335694290704,blog gardons,0.016745078743977,infos critik,0.014243356422760036,from mama,0.014034644605294501,news post,0.014034644605294501,infos photos,0.013027672056016166,bookvillageapp http,0.011155798269539908,hello booklovers,0.011124480476134352,to fwx3h8,0.010921665096230427,http onelink,0.010718849716326502,onelink to,0.010718849716326502,moral blog,0.009132889835854783,patients blog,0.009132889835854783,be aide,0.008912763345178217,www cancer,0.008688113327087072
belgique,2020-06,nonmedia,377,barcelone tv,0.06415465143257325,com watch,0.05693940647283282,www youtube,0.05596036498037307,youtube com,0.05577632144136543,ya tongo,0.041380893620306856,poto ya,0.04130486745659387,https www,0.03497409896671987,vrais vrais,0.03370507655247097,coucou vrais,0.03229222750841298,regarder aimer,0.030443240214620554,acteurs préférés,0.029937600071098497,aimer partager,0.029338736152148454,chaîne youtub,0.029201726124455072,youtub naomie,0.0289737406218217,vrais suivez,0.0289215474790284,partager commenter,0.026711726701965994,actuellement film,0.022443829624737056,commenter abonnez,0.02052905580902156,light news,0.018893199911185522,tongo abonnez,0.01873717157416182
belgique,2020-06,nonmedia,332,juin 2020,0.011189888407360961,conseil communal,0.009586491373554383,1er juillet,0.008341627634100162,ordures ménagères,0.00735782274245424,collectes porte,0.007221268575719109,16 juin,0.006943266324774669,lundi vendredi,0.006865860567555262,10 juin,0.006500005692146782,horaire été,0.006237034976457504,lundi juin,0.0061162883780594545,marché public,0.005851527183868452,15 juin,0.005650110422695085,déchets organiques,0.005629498863584668,navette fluviale,0.005144056878938583,25 juin,0.005017968226918549,ménagères pmc,0.004983970156589182,20 juin,0.00485858584144949,juillet août,0.004720035375608426,26 juin,0.004700700080866067,public acquisition,0.004697097139124758
belgique,2020-06,nonmedia,325,facebook com,0.08387688200300251,www facebook,0.06230167138335015,fb https,0.0395844366576168,2fwww facebook,0.0394436752922804,mp page,0.03929575292576065,next https,0.03928651297969592,com login,0.03928651297969592,bien vouloir,0.03924358637732281,vouloir prendre,0.03914210975522091,envoyant mp,0.0389456669077346,page fb,0.038526941095451704,3a 2f,0.03829784531411566,prendre contact,0.038291501598855554,https 3a,0.038186305013682156,login next,0.03589767276390709,https www,0.03429694911316792,contact vite,0.03190738507879097,sympa vérifier,0.020101443701813725,armoir com,0.01907463252493177,www mait,0.01907463252493177
belgique,2020-06,nonmedia,314,to everybody,0.06225801681005716,bonne soirée,0.045494367802947064,good night,0.03843130105381394,everybody buenas,0.03711348027365417,bonne journée,0.037055748439278814,soirée good,0.03695317409020571,souhaite bon,0.03545049324355704,grégory bisous,0.034967660030631925,bonjour je,0.033624423924958124,je souhaite,0.032659862640815676,journée good,0.03117532342986951,good day,0.030910424836248906,day to,0.030910424836248906,gros bisous,0.030650643995474486,bisous bisous,0.02677068450277394,bon mercredi,0.02420178948633451,bisou bisous,0.024138465397645116,bisous bonjour,0.02271192780802164,bisous bisou,0.02271192780802164,bon vendredi,0.02009266476394187
belgique,2020-06,nonmedia,298,1er juillet,0.024151022531143516,10 personnes,0.01687841367447136,conseil national,0.015401605576824528,partir 1er,0.014742957939125894,national sécurité,0.013956799974947103,200 personnes,0.013644371319632123,personnes maximum,0.011802973021423257,personnes semaine,0.009690985958426154,partir juin,0.009444468014588498,15 personnes,0.009192717414413444,400 personnes,0.008898690084610198,piscines centres,0.008032599528249808,activités sportives,0.007821787574658387,covid 19,0.007626956513841529,lundi juin,0.007496193274356889,juin 2020,0.0072996296651136145,activités culturelles,0.007170578492306448,15 juin,0.007148222161310802,au 31,0.006991081514583469,50 personnes,0.006614177893931859
