pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
belgique,2020-06,media,1543,il,0.012583432541290344,trump,0.011909383943392016,qu,0.01169637933886306,donald trump,0.007895025665283108,monde,0.007060960107977057,on,0.006795155983840825,qu il,0.006717132105358572,le,0.006620875867854986
belgique,2020-06,media,1021,be,0.01964069482799418,https www,0.014825184199426786,bit ly,0.012682298150421602,https bit,0.012413243228745966,rtbf be,0.008702246568166379,www rtbf,0.008601696257320227,be sport,0.007936075814596521,telesambre be,0.005984704814861297
belgique,2020-06,media,987,est,0.01889117506473911,je,0.01129441210015987,il,0.009820367076566734,on,0.009513078012147076,un,0.007577674731215599,monde,0.006037666024681735,le,0.005832303686277863,elle,0.004713838679543502
belgique,2020-06,media,921,saison,0.02257780341134308,club,0.02184463156560097,championnat,0.0148046719075973,match,0.01450607530662751,football,0.011629236651599229,finale,0.008674174532509581,manchester,0.008511240194967688,ligue,0.008137521841139892
belgique,2020-06,media,649,hospitalisations,0.03974902626804191,dernières,0.03511226350005779,nouvelles hospitalisations,0.02957466626929527,24,0.02883983993552053,24 heures,0.024496178347363493,dernières 24,0.02423763699609168,santé publique,0.02164480793697187,publique,0.020685230177647104
belgique,2020-06,media,419,ans,0.07443428396596176,prison,0.032094869775679664,ans prison,0.025518875524657324,condamné,0.019267413630296187,meurtre,0.015023827997904273,tribunal,0.014383713907353766,tribunal correctionnel,0.011392804515646268,procès,0.008939451455644924
belgique,2020-06,media,281,violences,0.03250381298376094,policières,0.030790259097905132,violences policières,0.030500775610843234,racisme,0.03047239378746942,contre racisme,0.02447933511506238,www,0.022609689179412057,manifestants,0.018473550188586225,www instagram,0.015824266391216646
belgique,2020-06,media,279,urgence,0.008724903016041485,européenne,0.008661826463613857,allemagne,0.007889439205139737,pandémie,0.007740620540139238,crise,0.006459718519711826,enquête,0.006180500129705021,épidémie,0.006176100441903507,oms,0.00602214417230765
belgique,2020-06,media,254,il,0.029011621788619685,qu il,0.025854937354563214,jamais,0.01085104841679898,on,0.009258260016163412,elle,0.007077970474335504,qu on,0.006529721581920284,rien,0.00549265597239644,bien,0.005459089067585903
belgique,2020-06,media,224,mois,0.019932906770378084,10,0.01321691383763386,mars,0.01293652641673438,mois mai,0.012934515181491024,30,0.012710770047152644,19,0.011393881263323987,20,0.01125035530139126,covid 19,0.009578432174116589
belgique,2020-06,media,217,averses,0.03641545651692353,orages,0.035117458937610396,vent,0.023692920039850168,nuages,0.02311405312967794,soleil,0.02211870956803589,températures,0.016875799205770283,pluies,0.015672754828179543,pluie,0.014692541837530632
belgique,2020-06,media,215,conseil national,0.06197571261710215,national sécurité,0.061858440283144814,national,0.05855936270399234,sécurité,0.05814515911248694,modalités,0.018323909110533373,première ministre,0.016061929377725458,travail santé,0.015001898442672244,déterminer modalités,0.01463114225779583
