pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
belgique,2020-06,nonmedia,1537,album,0.011056995381626116,clip,0.00778834875155951,film,0.006828787089303997,single,0.0066741922370400445,youtube,0.006299825431037138,punchline,0.006032449099710527,live,0.005887878949045489,street punchline,0.005640694918294628
belgique,2020-06,nonmedia,985,président,0.019209949219500658,ministre,0.01768931265950191,juin 2020,0.01568143302083028,nationale,0.015668646612779023,assemblée,0.015110105501070078,république,0.01444986765079987,assemblée nationale,0.014145972423377024,procès,0.010290975947866756
belgique,2020-06,nonmedia,713,com,0.03959855939109646,https www,0.03234042473550396,youtube,0.03100932455288694,www,0.030597668623490174,youtube com,0.027076196191004192,www youtube,0.02693452748128974,com watch,0.02329787559822376,instagram com,0.017524612327479427
belgique,2020-06,nonmedia,613,juin,0.03336595791710136,juillet,0.025123614654911253,août,0.014092518895318379,12,0.00936032115990068,juin 2020,0.009343977237272871,vendredi,0.009181700595150645,juillet 2020,0.00858573710324187,1er juillet,0.008516650075772788
belgique,2020-06,nonmedia,593,club,0.022829171845881718,esports,0.0188051256776231,matchs,0.01813890746359301,saison,0.015917756392864354,match,0.015183169386771061,joueurs,0.010415091455537222,be esports,0.00867287098614468,proximus be,0.008455935614724354
belgique,2020-06,nonmedia,447,timeline photos,0.02446693856713663,photos from,0.021658955269598924,be,0.021594688186560122,love,0.01754123405775351,artemio be,0.01591247528852273,sun,0.014725007529805137,https www,0.01337173919410542,summer sun,0.013048825287591265
belgique,2020-06,nonmedia,440,jsp,0.06398368548853216,https www,0.04446676627420715,offres emploi,0.04167931242203418,jsp index,0.03503293918765402,emploi jsp,0.03503293918765402,index jsp,0.034972963145958706,be recherche,0.03494327236828266,plein https,0.02767402401770473
belgique,2020-06,nonmedia,353,to,0.049567417339750404,is,0.01886297817216026,you,0.01827218228612851,will,0.013475272292920474,that,0.01108603680523405,your,0.008454443336773058,everybody,0.00793900944595746,to everybody,0.007703811731849307
belgique,2020-06,nonmedia,351,news infos,0.0687380479819882,abonnez vous,0.06568576027245654,news,0.0640674359119148,infos,0.04955129135953281,critik info,0.015582841024419187,blog gardons,0.013299891996957268,info,0.01048697304536355,infos critik,0.010460219414134424
belgique,2020-06,nonmedia,316,banque mondiale,0.010173247836761792,financement,0.009300298562509765,enseignement,0.009033967095426986,système,0.00732543355450543,gouvernement,0.007237412116641453,entreprises,0.006816162139788196,renforcement système,0.005870275578824189,renforcement,0.005443138800357368
belgique,2020-06,nonmedia,304,het,0.04641709245275659,een,0.036539347239562606,voor,0.025998347263477925,nl,0.014133750020583122,zijn,0.012067619797544922,dat,0.011108326626149896,ook,0.011008739440034665,van het,0.008883617442975346
belgique,2020-06,nonmedia,292,place,0.04674923322817004,route,0.02468980710996593,place perron,0.021398183499982234,bonne route,0.018733456796881254,sur sambre,0.017280424829482766,avenue,0.015886335838280717,sambre rue,0.01467661982610639,chaussée,0.01382880309838327
