pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
canada,2020-06,media,800,covid 19,0.06670882087114476,covid,0.06628768978037164,coronavirus,0.036929871797265534,nouveaux cas,0.026500517989137662,pandémie,0.02115676818004236,nouveaux décès,0.015148156084564641,deux,0.013405103351638003,états unis,0.00951487692260015
canada,2020-06,media,556,bit ly,0.025429016509896315,985fm ca,0.015154567573141915,www 985fm,0.015154567573141915,utm_medium,0.01444688148328983,utm_source,0.01444688148328983,it utm_medium,0.013929805591617207,dlvr,0.013929805591617207,dlvr it,0.013929805591617207
canada,2020-06,media,341,donald,0.0648607652908013,donald trump,0.06380718976680301,washington,0.028704202938462178,président américain,0.023873768901490098,george floyd,0.012901299252209168,floyd,0.012688751844144641,américain donald,0.011538222487045783,john bolton,0.011402000901704167
canada,2020-06,media,257,lac saint,0.03608794326995724,rivière ouelle,0.03184227068186046,feu forêt,0.030978424451439678,passes,0.02486425376193076,feux ciel,0.023598571272656646,nord lac,0.02102889736305243,faire feux,0.015716275876803257,kamouraska,0.015420268356156959
canada,2020-06,media,245,contre,0.02885791388864387,contre racisme,0.025965331864968803,racisme systémique,0.025061608483965343,montréal,0.017966742297560352,floyd,0.017235272239568295,george floyd,0.017211049565358492,george,0.016998501468925044,brutalité policière,0.01661330750273988
canada,2020-06,media,210,montréal,0.025626488697386072,recettes,0.02236645076441976,road trip,0.01918573784356714,vacances,0.014650077153270021,plages,0.01055697336086974,1h montréal,0.00906936435092999,voyage,0.008885792337240975,petit,0.00863914561215865
canada,2020-06,media,195,accident,0.0586308987687423,un,0.027130644179326386,motocycliste,0.021903354715767338,nicolet,0.02132033579959989,après midi,0.018055959827899377,une,0.01631182269554493,automobiliste,0.01589746500625566,sainte perpétue,0.013150098744314258
canada,2020-06,media,173,projet loi,0.06252923752521193,loi 61,0.045479686172791634,françois legault,0.03479089327071711,françois,0.03237222544897351,transports commun,0.027786443807707034,premier ministre,0.02706531128180728,ministre françois,0.018775823290053333,gouvernement legault,0.018059455768155173
canada,2020-06,media,173,ciné parc,0.03568813013823091,ville,0.024271856535188308,projet,0.013474023811358786,valleyfield,0.012967138216788738,rue,0.01122707118252065,jean talon,0.008904627738993986,centre,0.008172130039506198,mont royal,0.008064686626489443
canada,2020-06,media,146,rouvrir,0.058570288810748446,réouverture,0.05532330437818597,pourront rouvrir,0.03919445203720389,rouvrir portes,0.023802047775387282,réouverture restaurants,0.023642690020508977,centres commerciaux,0.02230486350861588,grand montréal,0.020826791803463873,restaurants 15,0.01598172657513048
canada,2020-06,media,135,centre,0.031968184478801426,centre ville,0.02835767344020971,rouyn noranda,0.024675901930942355,noranda,0.02457023983947622,maison,0.017702132812028735,maison aînés,0.015912671859365124,drummondville,0.012551440868664486,ville rouyn,0.009907261664800876
canada,2020-06,media,133,lnh,0.04147869968247847,repêchage,0.027962598101766562,penguins,0.02048660442177932,lafrenière,0.018975829856356378,alexis,0.016137613806415162,alexis lafrenière,0.015773899245212504,raptors,0.010987013793760972,mls,0.010752033052951648
