pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
canada,2020-06,nonmedia,545,to,0.04536926706411093,and,0.040951729093060774,for,0.019617335911865635,canada,0.013546367233042755,from,0.010067400624255594,day,0.009325654846953557,canadian,0.006907612460165678,more,0.006835845810775421
canada,2020-06,nonmedia,525,jésus,0.06663381582296679,nom,0.027104723086475567,jésus christ,0.026904191644243812,amen,0.024683666328194517,nom jésus,0.01888881779168428,qu il,0.012258490009316928,prière,0.011110988565765818,seigneur jésus,0.010623971604129007
canada,2020-06,nonmedia,484,recette,0.09245279193823792,four,0.02079986691385842,recette par,0.020667472812375187,fromage,0.02056905296766021,bacon,0.020416618866338294,chocolat,0.01525578741527567,facile faire,0.015010176393830545,gâteau,0.014171337897354091
canada,2020-06,nonmedia,390,coronavirus,0.053641510394233954,trump,0.03115005024808983,donald trump,0.028754509577584488,macron,0.0244051349870693,emmanuel macron,0.016787369680044517,oui avez,0.014090374814445722,avez bien,0.014090374814445722,bien lu,0.014019418907361266
canada,2020-06,nonmedia,351,medecine com,0.09962584524239,energy,0.0981052190279068,energy medecine,0.09551378602047865,universty energy,0.0950546476962422,www lesmotspositifs,0.03156269486852194,lesmotspositifs com,0.03156269486852194,médecine énergétique,0.020461233932632657,alexandre cormont,0.01735964636971227
canada,2020-06,nonmedia,318,repêchage,0.031233767036318177,lnh,0.030319463429210627,penguins,0.02688562493744673,lafrenière,0.015719250096509086,lhjmq,0.015463624205692784,alexis lafrenière,0.012178193556939238,pittsburgh,0.011032873981069318,remparts,0.010483446579002976
canada,2020-06,nonmedia,277,maman,0.029669472776995543,collaboratrice,0.011815056638415498,fille,0.011382820313381883,une,0.010175162524206555,un,0.009941181852542912,moi,0.009361051735960416,petit,0.009230775976422283,deux,0.00867624160283398
canada,2020-06,nonmedia,263,plats principaux,0.02109066066959463,recettes plats,0.021042867800238996,joseedistasio,0.02099590615349303,joseedistasio ca,0.02099590615349303,www joseedistasio,0.02099590615349303,www 5ingredients15minutes,0.02010151305244049,5ingredients15minutes com,0.02010151305244049,5ingredients15minutes,0.020006851429456813
canada,2020-06,nonmedia,261,lavictoiredelamour,0.09789888099865351,lavictoiredelamour org,0.09146853680282753,amen lavictoiredelamour,0.025700143762037313,org lavictoire,0.02229062481390507,org avictoire,0.02124584279301527,avictoire el,0.020065518193403308,avictoire del,0.019829190344586436,amour dieu,0.015096300769383534
canada,2020-06,nonmedia,260,ouattara,0.015403530288174578,côte ivoire,0.015323785387670178,bakayoko,0.015219342646952847,hamed bakayoko,0.014091315115101491,gbagbo,0.008728387125280202,encagoulés,0.008066608368561348,guillaume soro,0.006801154574107494,amadou,0.00678620244813114
canada,2020-06,nonmedia,231,rouge fm,0.03027193658982106,iheartradio,0.025516120834030015,www iheartradio,0.024957446454604307,iheartradio ca,0.024957446454604307,bonne chance,0.018957375693955465,fm rouge,0.01653068904308679,chance gagner,0.01301796853654383,gatineau ottawa,0.012459463921435038
canada,2020-06,nonmedia,230,com watch,0.03675290107609807,feature youtu,0.028003320197324225,tamazgha monde,0.015641192132942586,monde tv,0.015641192132942586,tamazgha,0.015597537355375108,tamazghamondetv,0.015072702362039253,tamazgha_monde,0.015072702362039253,com tamazgha_monde,0.015072702362039253
