pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
canada,2020-06,media,2250,été,0.012434473200212697,pandémie,0.006993549737234895,cas,0.005678672215626682,nouvelle,0.005532346722742648,région,0.005050443269897691,bien,0.004920769967001953,faire,0.00474726457287993,lac,0.004469425521175659
canada,2020-06,media,899,été,0.010398115006129915,une,0.00991941243100973,pandémie,0.006821357173949547,états,0.00671755624295925,états unis,0.006519242761336624,mardi,0.006256192310314527,juin,0.005539906297794379,lundi,0.005177156846636881
canada,2020-06,media,164,ici radio,0.025744221315936185,ici,0.025671203590306346,https ici,0.02535757614055367,nouvelle,0.01388715312899093,entrevue,0.013634390836181847,est,0.013504311260989683,rc,0.013459600870399003,com,0.009863690857095835
canada,2020-06,media,150,https,0.05598683772161265,ici,0.028794925013443932,https ici,0.019755124165481,ici radio,0.019595279335748773,rc,0.0185227774874067,http rc,0.013269512772886106,détails,0.012987306424810103,http,0.012877904709470443
canada,2020-06,media,96,ici,0.03785662102422113,https ici,0.03272596796099435,ici radio,0.03246117201576369,nouvelle,0.02467061357361286,rc,0.02443238114693816,nouvelles,0.018324461985580624,http rc,0.018212672049518576,https bit,0.011707127750639697
canada,2020-06,media,72,projet,0.010815871977695832,fête,0.009866943274374644,dévoilé,0.00838517611904193,mardi,0.008311758552049775,pères annonce,0.008193123433288615,identité trois,0.008193123433288615,midi agit,0.008193123433288615,qu,0.008117720924100267
canada,2020-06,media,37,rc,0.06722538667491497,téléjournal,0.06358587901093202,ici radio,0.0635521270377239,édition,0.059982216318590825,radio canada,0.05985770694073656,ici,0.05352770078659106,nouvelle,0.05168673726640894,revoir téléjournal,0.035806292551746464
canada,2020-06,media,37,souper,0.0331958913225463,chance,0.031001496865867506,aurez,0.02693987524653292,post concours,0.02532496272061711,allumée post,0.02532496272061711,chance gagner,0.024438228188451188,gagner,0.02339640822499483,nous,0.016719137080486137
canada,2020-06,media,32,caricature,0.17390135030297146,la caricature,0.12978025689387857,caricature de,0.10988312067456077,photos la,0.08516228561780892,photos galeries,0.08516228561780892,jour,0.08475487736025429,regard caricaturiste,0.0809352619904719,galeries,0.07811157054484281
canada,2020-06,media,30,besoin,0.02096451814279626,même,0.0174577018195074,bras,0.017019326283998416,commencent devenir,0.016904523628045433,souligne grands,0.016904523628045433,besoin innover,0.016904523628045433,être noire,0.016904523628045433,bras bassin,0.016904523628045433
canada,2020-06,media,28,rc,0.06080434418161214,ici radio,0.0574819364678677,radio canada,0.054140389438692996,nouvelle,0.04938472696964771,canada,0.048459748262907,ici,0.048414994734314036,crise logement,0.023991044849401566,restaurants monde,0.01902491634146759
canada,2020-06,media,26,jour,0.10591140478397014,nous,0.08309951330027507,envoyez,0.07958743000405397,nous images,0.06844350228994225,images région,0.03442521325233652,partage,0.0340023394055912,lac,0.03353799884763537,parvenir,0.030736604640929123
