pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
canada,2020-06,nonmedia,1470,été,0.008742809710515437,juin,0.006629922276058067,temps,0.005809940903684332,pandémie,0.005773087665787454,gouvernement,0.005439564919526389,nouvelle,0.005118615201863247,jour,0.0047160215640772545,monde,0.004542212688996148
canada,2020-06,nonmedia,704,canada import,0.006962956905559893,import post,0.006962956905559893,from canada,0.006962956905559893,34 photos,0.006962956905559893,import,0.006940380999136668,douane 21,0.00679733650345179,full options,0.00679733650345179,douane,0.006774768881085301
canada,2020-06,nonmedia,463,solution,0.014426240136407796,faire,0.008476018705768296,belle,0.00701824727342403,bien,0.006075122616069034,temps,0.005981778217824324,bonne,0.005806411166071783,besoin,0.005794292386128861,grand,0.005669655471648364
canada,2020-06,nonmedia,405,recette,0.1127898809303398,poulet,0.03372315743663106,salade,0.027635841241339595,recette par,0.024094034454472595,bacon,0.01978098112016157,fromage,0.01662846139102768,meilleure recette,0.016435116553162477,mélange,0.015965795503148188
canada,2020-06,nonmedia,387,shop,0.014892204856171631,ici,0.013306819200160974,de,0.012295604893452432,est,0.010544589319779774,ca recettes,0.009941149385006953,fr recettes,0.009203403228678185,la,0.00909902000195436,feux,0.0076653205475625584
canada,2020-06,nonmedia,354,détails,0.09089525443050393,perpétuité,0.016389923814080953,été,0.01562092925252643,loi,0.01482114687644903,projet,0.014712304709100104,qu il,0.01424679241269533,projet loi,0.013971897667730812,qu,0.013760117572702884
canada,2020-06,nonmedia,335,monde,0.016495209112752388,thème facebook,0.011796267707952246,thème,0.009703151838390794,joindre,0.00959634515629556,logique,0.007764553551656327,cours,0.007572349040356003,nombre,0.007492702512040884,ligne,0.007248941666300975
canada,2020-06,nonmedia,309,mercredi,0.019535639582673354,lundi,0.01877543098455545,semaine,0.017918121571513602,comptoir,0.015780856685778194,mardi,0.015498871540166359,jeudi,0.014669022158668978,vendredi,0.013985721704950915,menu aujourd,0.012811008062994816
canada,2020-06,nonmedia,301,détails intérieur,0.08946245949643095,détails,0.08363826322410996,policier,0.02924748157976802,frontière,0.025700945323410232,états,0.02252530095615155,états unis,0.020377375131816,je homme,0.013701655041982517,agresseur,0.012042160035109023
canada,2020-06,nonmedia,297,https,0.045599084271316266,https www,0.027427064562153863,youtu be,0.02186725288381622,www youtube,0.01594570346299842,https youtu,0.01303793147730174,labcdumaquillage com,0.009683440389577275,labcdumaquillage,0.009669064542604033,www labcdumaquillage,0.00956865040438457
canada,2020-06,nonmedia,276,nouvelle,0.012913687593881673,vie,0.011045022067476132,temps,0.00901396924772556,faire,0.00886180062393834,monde,0.008355092354467165,été,0.007782759180896649,bien,0.007042023348410038,pouvoir,0.006885027026009214
canada,2020-06,nonmedia,269,détails intérieur,0.10273123796097956,détails,0.0977281847087166,filme,0.01635407703923042,affirment,0.013364181440220552,vague,0.013265034516955076,spectaculaires,0.013261926623061695,consignes,0.01296365588663977,deux,0.012757868698731481
