pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
canada,2020-06,nonmedia,5136,https www,0.02133334567599824,www labcdumaquillage,0.007297536376850406,labcdumaquillage com,0.007283147559801883,facebook com,0.006864289217306609,com products,0.006807986977452904,www facebook,0.00564158836194757,https bit,0.005461193369004104,www youtube,0.005109680272429989,youtube com,0.005036709378723437,timeline photos,0.004669380705409099,com https,0.00443016750117774,ici https,0.00391597146816398,https bbqoutdoors,0.003894854038701245,com fr,0.0036179238013986756,com shopping,0.003197518147587355,https monetteoutdoor,0.003197518147587355,monetteoutdoor com,0.003197518147587355,blaguesquebec com,0.0030313452344127006,https blaguesquebec,0.0030313452344127006,blagues https,0.0029587183545770387
canada,2020-06,nonmedia,2568,qu il,0.03478140678994215,qu on,0.010017464824906714,qu elle,0.00760148535224834,détails intérieur,0.006234263400810019,est ce,0.005684009022501241,qu ils,0.004557928975344257,il faut,0.003894550866868925,peut être,0.0037923937689738328,qu une,0.003499653438568946,doc mailloux,0.003235851929006295,aujourd hui,0.003182045555156915,président affi,0.0031099318723548817,com emcitv,0.0029653315397152723,les culottes,0.0029653315397152723,ce qu,0.0026570517141902414,qu un,0.0025789178555144002,est qu,0.002518342523623664,projet loi,0.0024991933581279867,avez vous,0.0024821213563877014,qu est,0.00240522424789224
canada,2020-06,nonmedia,992,jésus christ,0.04155771977421004,nom jésus,0.02540353773711359,seigneur jésus,0.016517210543205176,nom seigneur,0.011386658043015729,christ jonathan,0.010744442239657676,bénie nom,0.010322554116529553,parole dieu,0.010258236514055236,dieu vivant,0.009519520714636909,christ amen,0.009063245855598262,saint esprit,0.008541614316514283,amen dieu,0.008165374389253612,seigneur dieu,0.0077874829619487065,dieu est,0.005857346758396565,père céleste,0.005196147338615935,sang jésus,0.005020427039261975,dieu amen,0.00467233933343183,royaume dieu,0.004630074360938718,puissant jésus,0.004518384335335778,nom puissant,0.004518384335335778,geste monstrueux,0.004457919532218254
canada,2020-06,nonmedia,964,détails intérieur,0.03598024084920521,dernière heure,0.018582806396846608,derek chauvin,0.017430182145031375,policier derek,0.013937541465384498,vient tomber,0.012659055528640323,insulter cracher,0.010026366321972425,être insulter,0.010026366321972425,cracher dessus,0.009961778683326908,noir policier,0.008777474260366345,je homme,0.008713131925708651,larmes être,0.008354078845374932,fedex fond,0.008354078845374932,fond larmes,0.008289836801457102,rassemblements intérieurs,0.00795618277070412,homme noir,0.007660892759280579,prestation canadienne,0.0075424501259035515,canadienne urgence,0.0075424501259035515,accident travail,0.007260943271423874,québec détails,0.00707147326703125,peines prison,0.007059538354578487
canada,2020-06,nonmedia,853,fête nationale,0.02586228942261701,grand spectacle,0.019550714890462683,spectacle fête,0.018108346856385328,nationale québec,0.016567441865980803,québec unisson,0.016542060684981843,23 juin,0.012316424941573667,annabelle cie,0.00960576868805575,louis jean,0.009367778487470302,marie mai,0.009192042879619685,jean cormier,0.008677001920490514,télé québec,0.0074007256411244456,saint jean,0.007116577430708196,21h ici,0.007068078109526409,nouvelle émission,0.006647133406034616,24 juin,0.005751064676221748,collections mnbaq,0.0057007163851704795,juin 2020,0.005670615073248021,radio canada,0.005608557913071899,québec 2020,0.00551882239149758,patrice michaud,0.005371701920514464
canada,2020-06,nonmedia,688,facile faire,0.04333280898464352,meilleure recette,0.029337983095222973,super facile,0.017963943684759516,vraiment facile,0.016307447810204552,recette salade,0.01603293032060042,facile préparer,0.013427428487183285,vrai délice,0.013049009315818422,super simple,0.012168136829389536,absolument parfaite,0.010808508613737555,blanquette saumon,0.010808508613737555,recette super,0.010324693319002216,très facile,0.009464302209085366,recette facile,0.009361877464537656,recette absolument,0.009107809781027345,simple rapide,0.008923300341552327,rapide préparer,0.008828654720468383,simple faire,0.008741090678391381,recette gâteau,0.00850894145686881,parfaite marinade,0.007581146522466081,recette marinade,0.007581146522466081
canada,2020-06,nonmedia,679,carte cadeau,0.024201653969791237,gagnez carte,0.01493088254625029,tonsite ca,0.011225886764631153,http tinyurl,0.011225886764631153,https tonsite,0.011225886764631153,tinyurl com,0.011088317805864974,ca gp,0.010365867322824164,ref as_li_ss_tl,0.010365867322824164,b07mx47tf9 ref,0.010365867322824164,as_li_ss_tl ie,0.010365867322824164,dashcam recommandée,0.010365867322824164,tag ipodtouchisap,0.010365867322824164,sl1 tag,0.010365867322824164,36ld44g https,0.010365867322824164,to 36ld44g,0.010365867322824164,recommandée https,0.010365867322824164,message cammer,0.010365867322824164,nouvelle dashcam,0.010365867322824164,utf8 psc,0.010365867322824164,amzn to,0.010181186179328153
canada,2020-06,nonmedia,677,https bit,0.03252277245751394,fr recettes,0.024808559758894067,5ingredients15minutes com,0.024406733181799107,www 5ingredients15minutes,0.024406733181799107,com fr,0.023165084762343562,recettes plats,0.022769352447192304,www joseedistasio,0.02000265684179934,joseedistasio ca,0.02000265684179934,http www,0.019253576543310592,ca recettes,0.01875659252463627,ici https,0.017388550801272617,https www,0.01383128301466779,recette ici,0.009966879165037844,découvrez recette,0.009063402778500644,https lecoupdegrace,0.008807608316810054,lecoupdegrace ca,0.008807608316810054,ca recette,0.008413947937710593,recettes desserts,0.00829183823721569,pratiques com,0.006584268613577564,vous patates,0.006326349689661563
canada,2020-06,nonmedia,636,feux ciel,0.022178198907829606,faire feux,0.015029027512229141,interdiction faire,0.0138225603434913,lac saint,0.009366353091083647,ciel ouvert,0.008461160823850504,forêt proximité,0.00806226917036582,feu forêt,0.008057181519218398,ciel forêt,0.0074026597545265894,contre feu,0.007301469527865502,société protection,0.006991242070835763,forêts contre,0.006991242070835763,protection faune,0.006939993519868678,protection forêts,0.006891374283482374,feu sopfeu,0.00668645479819018,secteur chute,0.0065070471667921705,lac mégantic,0.006431949331250216,ministère forêts,0.0061032359163968345,feux forêt,0.006059076461390995,forêts faune,0.0060442356482779454,faune parcs,0.00598892537985844
canada,2020-06,nonmedia,616,prenant café,0.0309180259050195,2020 menu,0.019134338089551124,derrière comptoir,0.018602841008699356,menu aujourd,0.016165454972254516,café matinal,0.013285134761182952,circulaire maxi,0.012900501031937019,nouvelle canicule,0.011692363655441263,détails intérieur,0.011623627484824053,recouverts déchets,0.010637155190188515,fin monde,0.010551097970735649,2020 prenant,0.010348403303898484,semaine prochaine,0.009259012720481538,circulaire en,0.00916121593277241,québec prochains,0.00828414194331533,en ligne,0.008233122810683682,prochains jours,0.007585635170984796,pelouses quais,0.007065206094693563,quais recouverts,0.007065206094693563,images désolantes,0.007065206094693563,café mercredi,0.007065206094693563
