pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
canada,2020-06,media,373,nouveaux cas,0.04859053274517098,nouveaux décès,0.028028315633170986,compte,0.0200998868930145,infectées,0.01775563411362269,personnes infectées,0.017346976079027496,24 heures,0.01726357190920188,supplémentaires,0.017121802937376442,québec compte,0.014951167957606678
canada,2020-06,media,253,15 juin,0.02709665176472395,15,0.025248637039635834,juillet,0.02450749201539113,22,0.02000099104978563,22 juin,0.01932873722725828,compter,0.018054179713394382,50 personnes,0.011320882865268746,23,0.011166065727621514
canada,2020-06,media,210,ans,0.10365496352808823,jeune,0.028747845648063576,décédé,0.019254961438657344,mort,0.016072528341007832,14 ans,0.013196922122722983,ans été,0.012894578973618308,âge,0.01240524296704681,27 ans,0.012095522619616942
canada,2020-06,media,175,racisme,0.013577737623556019,raciste,0.011447368623965715,contre,0.008542981638285731,états unis,0.008444398924193124,donald trump,0.008437133094431884,donald,0.008393968301571082,canadiens,0.008353543533781049,mort george,0.007810928848903823
canada,2020-06,media,132,https www,0.049515508250784664,photos,0.04028115693301771,ca nouvelles,0.03425878099546239,la,0.027240214046090623,la caricature,0.026191221004728333,photos galeries,0.016408774084279373,photos la,0.016408774084279373,com photos,0.016408774084279373
canada,2020-06,media,125,canada,0.014027849416949331,québec,0.010885319293949725,radio canada,0.010498640082138497,canada ca,0.010144941555615128,ici radio,0.008359962429950657,https ici,0.00772581082293499,sainte adèle,0.007613242207284197,ouverture,0.007403224570141082
canada,2020-06,media,124,forêt,0.09339040624037845,lac saint,0.06019115203708909,feu forêt,0.04715657872509642,feux ciel,0.03436602607233434,nord lac,0.031128661487186363,incendie forêt,0.019715331495529044,forêts,0.018888983527546817,feux forêt,0.01775007941201067
canada,2020-06,media,120,contre racisme,0.026673167507732125,brutalité,0.024046349636091716,brutalité policière,0.023301926250206377,manifestation,0.01845964973909726,racisme brutalité,0.017217705756060925,dénoncer racisme,0.01714168240217484,rassemblement,0.013682385746456876,manifestation contre,0.01314366025506747
canada,2020-06,media,115,un,0.09160729721159824,foyer,0.011780542465123924,ville québec,0.011509445546207754,dernier,0.01077379144219328,qu un,0.010565368929330222,apparition un,0.010344230976530632,un foyer,0.010139231486208915,statue un,0.00921370990453634
canada,2020-06,media,112,participer,0.028768896802790284,gagner,0.023202361737040773,chance,0.021418581147248768,chance gagner,0.018661366565102564,participer aimez,0.01834989958915192,aimer page,0.017632850232498623,dépenser,0.017327459849484556,commentaires,0.016503803190284584
canada,2020-06,media,111,projet loi,0.14259426050442406,loi 61,0.09045472913310916,opposition,0.04356724085325576,gouvernement,0.03680075861201059,adoption,0.024654204753066906,gouvernement legault,0.016944545156374623,adoption projet,0.015817583306402597,loi relance,0.015329083034166044
canada,2020-06,media,100,ca,0.08901493454223941,canada ca,0.06456222673083277,ici radio,0.05516166384022319,rc ca,0.04689810009191298,ca nouvelle,0.04650230455026319,dlvr it,0.03849183463836013,it utm_medium,0.03849183463836013,it,0.0382017794644961
