pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
france,2020-06,media,3022,coronavirus,0.055661939096760794,covid 19,0.0395355085974101,épidémie,0.01932962876346881,virus,0.015371233840322547,pandémie,0.013350406470678238,nouveaux cas,0.008884585178650232,cas covid,0.008575159408281642,deux,0.008337601276601441
france,2020-06,media,650,météo,0.050663663606456265,orages,0.03535295938346164,pluie,0.014882227295400676,orage,0.014638571321384608,chaud,0.014494809984050156,météo france,0.014472936893614468,semaine prochaine,0.013378470176082161,après midi,0.012318456024416807
france,2020-06,media,638,second tour,0.03274030465039467,municipales 2020,0.021741261208410096,philippe,0.02081862524996781,victoire,0.019878834055475015,élections municipales,0.017389702485610364,anne hidalgo,0.016784927352491118,perpignan,0.015079333927794024,écologistes,0.014703459744699597
france,2020-06,media,500,lequipe fr,0.0647961643900117,timeline photos,0.05677234373536262,actualites,0.03964408706402752,football actualites,0.03121495772821999,https rmcsport,0.02663802928827691,rmcsport bfmtv,0.02663802928827691,bfmtv com,0.026558395732676942,bfmtv,0.024202021189380755
france,2020-06,media,472,barcelone,0.019375070698642798,boudjellal,0.0137775605519675,thiago,0.012373153608985442,cavani,0.012247878349532589,thiago silva,0.011814635678624754,silva,0.011807492198842907,fc barcelone,0.010816827360570975,chelsea,0.010410430155097733
france,2020-06,media,405,policières,0.05570332131449518,violences policières,0.05494126725266505,contre,0.05097428386991957,menottes,0.0458761156851959,contre violences,0.03174831798841407,christophe castaner,0.020798715158413177,racisme violences,0.016829823769527182,contre racisme,0.016302123391441804
france,2020-06,media,375,portes,0.0260215977215547,centre,0.01369131495446781,centre ville,0.011833253228548387,réouverture,0.011762347709648228,guinguette,0.010948281809724882,ouverture,0.010596215523898918,confinement,0.008361004900866394,rouvre portes,0.008235954058765003
france,2020-06,media,313,soignants,0.0885933407709417,mardi 16,0.024358854941355302,personnel soignant,0.023648384741802683,crise sanitaire,0.019824000552671184,début crise,0.016225948503891526,alissia touchera,0.015843697512450294,alissia,0.015724915410352557,injustice,0.015527431290498352
france,2020-06,media,295,liga,0.036326774075008,real madrid,0.028810475247270064,bundesliga,0.024825359202886657,résumé vidéo,0.024282872662621455,canal sport,0.0199804294385506,laliga,0.017232954264733893,barcelone,0.015065794994648968,valence,0.012821033005659664
france,2020-06,media,275,mis examen,0.026898023710590538,libertins,0.0206064534812768,soupçonné avoir,0.01799090842304031,été mis,0.016369917772770665,une,0.01601776650477043,12,0.014883582435710063,sites libertins,0.014313053847046975,ans sites,0.013217218597116834
france,2020-06,media,265,amp amp,0.05096406436297153,utm_source,0.03440023831190593,utm_medium,0.03440023831190593,utm_medium social,0.03356829581448515,echobox,0.03336400717848061,utm_source facebook,0.03100423965166396,amp echobox,0.020581633203354086,amp utm_source,0.020543377925839813
france,2020-06,media,252,castaner,0.05484696483391908,christophe castaner,0.040844489241814406,violences policières,0.037882561593528645,racistes,0.0373932792299297,messages racistes,0.016600563409927882,policières france,0.013480639338459959,propos racistes,0.013363814325558528,intérieur christophe,0.013112690161919623
