pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
france,2020-06-1,nonmedia,3615,real madrid,0.01653538015996602,ronaldo,0.01426716126260859,footmercato,0.012899681699460007,barça,0.011305589740629935,liga,0.01129862054469648,cristiano,0.010558686323072115,cristiano ronaldo,0.009904530050925446,barcelone,0.009826206582799079
france,2020-06-1,nonmedia,1111,policières,0.017202893503522197,violences policières,0.01635582508551488,actupenit com,0.014517769947511429,actupenit,0.014517769947511429,ow ly,0.014430701948556054,https actupenit,0.0132232216512608,2020 camille,0.012353045506782272,camille,0.011728485743748303
france,2020-06-1,nonmedia,877,login,0.04080775114356222,accounts login,0.038043507051321354,com accounts,0.038043507051321354,accounts,0.03803096438298229,login next,0.037162813720187635,remilemenicierphotographies,0.015223105020965293,bit ly,0.011309910255349333,snapchat,0.011061768939580708
france,2020-06-1,nonmedia,872,jésus,0.02822887863732388,joyce,0.027293521338328866,joyce meyer,0.013693102113434807,qu il,0.011131709903778748,soleil komisa,0.010946347531895016,komisa,0.010946347531895016,joyce explique,0.00978845776453892,jésus christ,0.009225419424271224
france,2020-06-1,nonmedia,775,chats,0.05489004483993975,animaaaaals,0.04787174693182735,chats chiens,0.02006938942336489,photos chats,0.01926496867533907,refuges france,0.017777725149897023,refuges,0.01767059220547633,chat chien,0.013719075382112068,ly 2nambot,0.013106115694675334
france,2020-06-1,nonmedia,692,recette,0.05219563874596398,cuisine,0.025363237625351493,brico,0.01738020749019076,brico déco,0.016286965237563466,pommes,0.013840677435312346,huile olive,0.013098560815673635,olive,0.012937233419212305,ail,0.011405046778427335
france,2020-06-1,nonmedia,455,photos from,0.026938213079129882,valdeloire,0.017114446738334392,loire,0.012496411382017446,avuedecoucou,0.012122847612032948,avuedecoucou com,0.011554735094637194,auvergne,0.0109714806645735,holley,0.008811107794129048,pierre holley,0.008811107794129048
france,2020-06-1,nonmedia,413,concours,0.07043450115610538,accounts login,0.01906711000984538,com accounts,0.01906711000984538,login next,0.019063965437206697,accounts,0.01906082372197199,login,0.018906906063205362,mamantestavis,0.01721202842439202,bonne chance,0.016680379302310012
france,2020-06-1,nonmedia,391,algérie,0.011928258359136298,une,0.008974244062842269,dinar,0.008214264286466065,justice,0.00807688827467111,france,0.0077399801738797175,loi,0.0058041448976939615,gouvernement,0.005365264474337126,cd,0.005280129809841605
france,2020-06-1,nonmedia,390,com watch,0.04952334059358933,feature youtu,0.040174095366178275,ahlil musique,0.02220651138971813,ahlil,0.022131775720300437,bonne écoute,0.018301019151846093,un_max_de_partage_svp,0.017338852906184674,yvj mh808ga,0.01623636578149717,un_max_de_partage_svp ahlil,0.014266096647915552
france,2020-06-1,nonmedia,338,bit ly,0.06559646473266403,ly,0.06366457949021141,org recettes,0.04349590524070039,marmiton org,0.04344816937928768,www marmiton,0.04344816937928768,marmiton,0.04344816937928768,com recettes,0.037855830746310055,com fid,0.030521487778508008
france,2020-06-1,nonmedia,316,emmanuel macron,0.04735677577945518,emmanuel,0.04724219867308677,convention citoyenne,0.015078849237138474,france,0.013915072620272567,fillon,0.012819064239326838,kohler,0.01218466080477384,loi,0.009511453647312373,affaire fillon,0.009497327696256974
france,2020-06-2,nonmedia,1400,chien,0.02605918335854574,chats,0.019568059488374423,chiens,0.01930540457474277,spa,0.011990045951752987,chat,0.011811623962582956,photos from,0.011656810243469106,contact,0.011240468422068078,petite,0.011125514048704559
france,2020-06-2,nonmedia,1387,bfmtv,0.01322167517059888,bfmtv com,0.011798370214027886,footmercato,0.011645330235076811,https rmcsport,0.011161438377246126,rmcsport bfmtv,0.011161438377246126,rmcsport,0.011125147950381142,rmc,0.010431054370018376,real madrid,0.009922076561487818
