pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
france,2020-06,media,9802,juin,0.014035003449298521,mardi,0.0052494891251285095,juin 2020,0.005169358043418242,lundi,0.005006023799559258,dimanche,0.004621155360102242,vendredi,0.004551568329742617,fin,0.004344916384174783,samedi,0.004228166504011472
france,2020-06,media,1240,été,0.009477829629637547,juin,0.0066810072501929775,faire,0.004798408639393572,monde,0.004375019641800021,nouvelle,0.004026105798512113,confinement,0.004005979434723746,mois,0.003849153852113587,pays,0.003802523163484561
france,2020-06,media,1078,juin,0.011374261078306651,crise,0.0061390572993099074,lundi,0.005150859823410444,confinement,0.005096459451409409,mercredi,0.004948520314374498,mardi,0.004899718669558088,police,0.004689410873145052,vendredi,0.004365528104558238
france,2020-06,media,712,policier,0.021158256519126672,mort,0.02072458991171257,tué,0.01914930824742177,meurtre,0.013213573808083712,mis examen,0.011463741774375593,accident,0.01123699582588854,victime,0.01099084114126399,condamné,0.009585096987213644
france,2020-06,media,668,être,0.010622804407116925,discuter je,0.01035947438001027,vivre sortir,0.01035947438001027,sortir discuter,0.01035947438001027,veulent vivre,0.010316479720459423,discuter,0.010017988567682237,sortir,0.009364223981206737,veulent,0.009363088429411689
france,2020-06,media,561,https,0.06893299418294971,www,0.03839891042801431,https www,0.03518628150440214,https rmcsport,0.014934561446259433,rmcsport bfmtv,0.014934561446259433,bfmtv com,0.014889915041811816,bfmtv,0.01356881804824609,www europe1,0.013091612635184283
france,2020-06,media,476,football actualites,0.03265814527550227,de,0.025976796980528977,la,0.018867843902442238,le,0.018374635474665054,football article,0.017223762263917173,journal,0.010476910668185005,match,0.009773324179517123,est,0.009056885689990976
france,2020-06,media,421,virus,0.025579320377776573,étude,0.022495896743306057,nouveaux,0.022377768682209344,décès,0.021604014406433846,épidémie,0.019213227435316265,pandémie,0.014346596112269287,un virus,0.013700822310751233,grippe,0.01265179035650866
france,2020-06,media,391,été,0.010815292325801262,pays,0.00771351633745077,états,0.0058681483371589285,monde,0.005577124985066784,faire,0.005283592091115901,cas,0.005247629094069969,premier,0.004985623354097244,qu il,0.004866391142321245
france,2020-06,media,315,été,0.01259410115708107,mercredi,0.006341149657938276,vendredi,0.005637454843563953,samedi,0.005448844743975848,lundi,0.005123528480459192,crise,0.005116141016803595,trois,0.004698334793523555,dernier,0.004678870224173913
france,2020-06,media,310,donald trump,0.018254580034920136,silence,0.014072785814660236,manifestants,0.013046379585730098,terre,0.01117654034652141,états,0.010773168512762207,états unis,0.010420701522303934,funérailles,0.009498033943031899,funérailles george,0.00918585604329866
france,2020-06,media,251,violences policières,0.07234455416273926,contre violences,0.0532595543422522,manifestants,0.031138985764686135,manifestation contre,0.01886258681724738,manifestations,0.015818540581970346,forces ordre,0.013504951118538116,racisme violences,0.013443541320930166,rassemblements,0.013159680962258325
