pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
france,2020-06-1,nonmedia,14481,été,0.008406017017244527,france,0.00760035837502807,faire,0.006867533828237342,monde,0.0052273865372993115,police,0.0042903304128097995,paris,0.004171600477697913,nouvelle,0.003914426213035745,jour,0.0037115660384384034
france,2020-06-1,nonmedia,1778,post,0.06947970878835771,france,0.00803748823212988,été,0.006526656987273511,belle,0.005796261949194791,jour,0.004664261235647054,matin,0.004659731236448608,faire,0.004656935284768144,bien,0.004591536737651668
france,2020-06-1,nonmedia,919,amour,0.012545431250190378,monde,0.01144484796066686,amour est,0.010040156838204889,été,0.007804645734544924,anniversaire,0.00741583222408837,jour,0.007111241870968516,fête,0.006533925510057449,fois,0.006069233895075234
france,2020-06-1,nonmedia,722,timeline photos,0.14759998891940124,photos,0.11966669822744597,mym fans,0.01019756870563761,jamais,0.007831164639733048,photos adorelesanimaux,0.007522883105462846,fans,0.006918624281679182,bien,0.006827251770788798,photos est,0.006784108854781734
france,2020-06-1,nonmedia,571,psg,0.028160392948948676,real,0.021019756583941812,real madrid,0.018418748429302242,https beguin,0.01417734009260935,custom pet,0.01417734009260935,coussin http,0.01417734009260935,2nambot https,0.01417734009260935,ly 2nambot,0.01417734009260935
france,2020-06-1,nonmedia,511,https,0.09437958311595279,https www,0.08098506345687041,instagram https,0.030296922251950915,https instagram,0.021783314711546008,https svenphotographies,0.0217349796202028,fr https,0.0194129536943362,3fhl 3dfr,0.017284738127489145,3fhl,0.017268397063709976
france,2020-06-1,nonmedia,464,juin,0.009361708629813392,naissance,0.006454141178959556,nouvelle,0.006087399373304679,chat,0.0058928911701965365,compagnie,0.005609262020986133,monde,0.005387566727519336,mois,0.004898388058516352,deux,0.004775081592710427
france,2020-06-1,nonmedia,388,minodusud,0.06541920740598063,https,0.04881242806934624,https www,0.03776674619168738,www youtube,0.03320565883263173,https youtu,0.027248413352464015,mds https,0.02534499249386344,minodusud lookbymds,0.025312262247011393,lookbymds,0.025312262247011393
france,2020-06-1,nonmedia,298,ingrédients,0.04777543173888724,ingrédients personnes,0.034305943590594454,idées repas,0.02856261573518787,repas recettes,0.028474968751119795,recettes cuisine,0.028347474818881845,préparation,0.027022616232703967,repas,0.02532424365969479,recettes faciles,0.02049676338320054
france,2020-06-1,nonmedia,296,instagram,0.01729581029467534,blog,0.01033035307818347,facebook,0.009927783194389474,login,0.009391288586386019,login next,0.009300297408052468,next,0.009253420333412619,faire,0.008889101959035821,tonton,0.00808308970392536
france,2020-06-1,nonmedia,291,https,0.09650787766729733,ici http,0.05287927713604377,http bit,0.05253080140448915,http,0.046673068906744455,33avdfd https,0.03648184202063391,33avdfd,0.03648184202063391,https nuitsansfolie,0.03648184202063391,ly 33avdfd,0.03648184202063391
france,2020-06-1,nonmedia,290,été,0.007849936957327502,bien,0.0070742397085168055,monde,0.006855813820570579,temps,0.006156474954065643,dieu,0.005991747380758888,faire,0.005810620152615602,rien,0.0052285672244382995,police,0.005050887652049548
france,2020-06-2,nonmedia,1347,été,0.01088873104329825,juin,0.009847507350533897,nouvelle,0.00582669505547314,paris,0.0054995642422293305,bien,0.005205765322854035,police,0.004547327916572783,soir,0.004295315351465813,monde,0.00412788844822043
france,2020-06-2,nonmedia,568,post,0.1211686047064174,france post,0.012406097056685944,bazins modes,0.010140763100587799,modes post,0.010140763100587799,paris,0.008131884739925278,ed92 post,0.006498511812870704,matin,0.006185468950671316,stokomani post,0.005874395650644672
france,2020-06-2,nonmedia,556,vie,0.00917132273190861,temps,0.006768461874361785,moment,0.006167668751877739,peuple,0.00590295134370119,mieux,0.005808037856613438,share post,0.005776115549817684,this is,0.005755635516798316,this,0.005555932349173087
france,2020-06-2,nonmedia,426,ici,0.040454887423580686,pr livraisonofferte,0.032269972867156625,prénom ici,0.03222316356689562,pr,0.02849785136053688,jour,0.017255797401439423,jour merde,0.016232501957178333,dons,0.015023891993456554,est jour,0.014793245107238924
france,2020-06-2,nonmedia,384,https rmcsport,0.037982219499427164,rmcsport bfmtv,0.037982219499427164,rmcsport,0.0378587236817444,bfmtv,0.03417275876873705,rmc sport,0.016752642849108598,rmc,0.015583503967903313,sport,0.015137154828709741,mon horoscope,0.014345800074441173
france,2020-06-2,nonmedia,381,https,0.1046305590525533,www instagram,0.10100576857472127,https instagram,0.026113933079043822,instagram https,0.025540901654991285,snapchat,0.020609624658167847,soniatlev fr,0.015386049748737965,fr https,0.013416979453300358,twitter,0.011713149051279006
france,2020-06-2,nonmedia,359,été,0.00865574238377223,violences,0.007754920338126319,une,0.0075410503724997946,policières,0.0071725194289188055,police,0.0069358578692708325,paris,0.0060497895896105295,racisme,0.0054650247871479,personnes,0.004984768184475691
france,2020-06-2,nonmedia,358,bien,0.008657468473906218,rien,0.007695372511662192,veux,0.007637609913343505,jour,0.006633530292584547,amour,0.0062999971467279856,croire,0.00603744522292004,monde,0.006016372745833584,bonheur,0.005977340001726474
france,2020-06-2,nonmedia,349,roll,0.0364722047889971,forever johnny,0.02609433902996757,hallyday fans,0.025630474232182874,fans,0.02235735423913045,roll forever,0.013383315637365428,coeurs,0.01303182402616055,histoire rabbi,0.012622804743375031,rabbi nitsots,0.0121056948341107
france,2020-06-2,nonmedia,328,https,0.05517968401264343,organic utm_campaign,0.04891861907211849,utm_source facebook,0.048892089372317274,utm_campaign bitly,0.04872582182931055,utm_campaign,0.04831291929175348,facebook utm_medium,0.047354667625527765,utm_source,0.04606960762310874,gentside com,0.02308529968574147
france,2020-06-2,nonmedia,306,jour,0.010326974844205337,bien,0.010121008560788352,été,0.00949042362543618,juin,0.00748333469388954,esprit,0.006609558663665245,âme,0.006092961889013431,fête,0.005991493818711313,mois,0.00587802254010337
france,2020-06-2,nonmedia,305,post,0.04738584365852864,été,0.008937421751399811,spa,0.007445208287390496,refuge,0.006808556905535565,faire,0.005577485066633152,spa refuge,0.004902708234439152,bien,0.004893707765511584,garric post,0.004480251212864954
