pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
france,2020-06,media,377,association défense,0.043558149462602884,défense animaux,0.04278630282274588,animaux one,0.03351522357590256,rmc sport,0.024729414559944613,chasseurs déterrent,0.024583756928544975,déterrent renardeaux,0.024583756928544975,ensuite tuer,0.024583756928544975,tuer coup,0.024583756928544975,infiltrés one,0.024583756928544975,coup barre,0.024583756928544975,vidéo groupe,0.024583756928544975,bénévoles infiltrés,0.024583756928544975,groupe chasseurs,0.024471898121622777,renardeaux ensuite,0.024471898121622777,dévoilé vidéo,0.024155600942971388,confié association,0.023499942910375913,de france,0.020396596038543272,hauts de,0.020110546706954707,commission enquête,0.015076090138400318,assemblée nationale,0.014591386529744956
france,2020-06,media,298,nouveaux cas,0.0408221912739785,000 km,0.03736505992131082,deux millions,0.027576726851459635,parcouru 000,0.026319717024587297,sensibiliser fibromyalgie,0.026319717024587297,fibromyalgie maladie,0.026319717024587297,km sensibiliser,0.02618967138985254,millions personnes,0.025153585438799718,000 morts,0.021891107280564228,cas coronavirus,0.020335751707133438,cas positifs,0.01794316537522913,millions cas,0.017659368817927096,coronavirus brésil,0.015138244154261614,testés positifs,0.014984723793369865,maladie souffrances,0.01492167377829253,fibromyalgie arrive,0.01492167377829253,touche pourtant,0.01492167377829253,passant portugal,0.01492167377829253,souffrances peu,0.01492167377829253,km marche,0.01492167377829253
france,2020-06,media,279,second tour,0.03250830144505135,premier ministre,0.023936251883077558,édouard philippe,0.02098232557244658,élections municipales,0.01827399985905574,premier tour,0.018151369713466182,municipales 2020,0.014257179031545735,maire sortante,0.014078143781110535,maire sortant,0.013951629492059392,largement tête,0.013568982765091971,tour élections,0.013531476792385103,intentions vote,0.013139190161391383,hidalgo largement,0.012836349800804888,français souhaitent,0.012466245511020917,premières estimations,0.012217104507475275,philippe premier,0.011936888210598585,1er tour,0.011316887761042465,arrive tête,0.010942147526382036,municipales paris,0.010869689585549402,tour municipales,0.010764741464479368,majorité français,0.009675384752613975
france,2020-06,media,266,vidéo but,0.036294240458629105,résumé vidéo,0.03458045264447236,real madrid,0.034551439954538854,canal sport,0.026798823048980857,fc barcelone,0.01876886217282322,bein sports,0.015636981318233118,bayern munich,0.014940290530919501,vidéo bundesliga,0.013004311839291292,fc séville,0.011520972409956828,real sociedad,0.011520972409956828,coup franc,0.011218789354578878,vidéo laliga,0.01072215168767098,karim benzema,0.009898660925358427,cristiano ronaldo,0.009376711528449837,video but,0.007929904926067679,premier league,0.0076896330969938136,atlético madrid,0.007434316546739106,manchester city,0.007401648563223454,borussia dortmund,0.007130974437919514,fc barcelona,0.0069386668103092195
france,2020-06,media,261,silence sportifs,0.02510824626347786,noah regrette,0.016790965610058377,violences policières,0.0165584473694119,le silence,0.016361416905542985,regrette le,0.014028298570562123,injustice devrait,0.013705605549687867,est injustice,0.012274761249241858,devrait sensibiliser,0.012127156988482947,sensibiliser monde,0.012127156988482947,monde mort,0.01186844491046477,gêne est,0.009332759199262821,métis noirs,0.009162238535737091,ce gêne,0.007825026039151995,général gaulle,0.006935346211614407,policières france,0.006823153511963745,dénoncer violences,0.006615131131982617,colomb dégradée,0.006059708957982435,meurtrier esclavagiste,0.006059708957982435,dernier vainqueur,0.006059708957982435,assassin meurtrier,0.006059708957982435
france,2020-06,media,251,violences policières,0.06410347601077801,contre violences,0.044325274235978006,contre racisme,0.028167363387853674,racisme violences,0.023015091774319627,forces ordre,0.02292783065483435,messages racistes,0.0181510617293437,protester contre,0.01756719115885759,devant bataclan,0.016437569056898388,personnes rassemblées,0.01599702098875778,contre accusations,0.015658580303338884,communauté tchétchène,0.015058924773367153,milliers personnes,0.01375996075565972,manifestation contre,0.013753914989335229,partout france,0.01327874783717459,violences dijon,0.012795518541335591,manifestations contre,0.012522891767349852,place république,0.012097718259594001,policiers déposent,0.01096503881028569,policières racisme,0.010932021199190916,accusations racisme,0.010618003738257371
france,2020-06,media,238,je ai,0.039307701879231466,croyaient guéries,0.037936848597769884,renouer vie,0.037936848597769884,symptômes polymorphes,0.037936848597769884,empêchant renouer,0.037936848597769884,décrivent symptômes,0.037936848597769884,enchaînent périodes,0.037936848597769884,polymorphes douloureux,0.037936848597769884,périodes rémission,0.037936848597769884,douloureux empêchant,0.037936848597769884,guéries covid,0.037936848597769884,vie avant,0.037292118135190386,ai jamais,0.03139008536518032,allais guérir,0.021468771772915354,courtes rechutes,0.021468771772915354,rémission très,0.021468771772915354,guéri croyaient,0.021468771772915354,pensais allais,0.021468771772915354,très courtes,0.021468771772915354,jamais guéri,0.021468771772915354
france,2020-06,media,221,110 km,0.14903268410690335,km autoroute,0.06711173922711959,limiter vitesse,0.04039759358520541,vitesse 110,0.03896590646826883,km autoroutes,0.03618681159361552,vitesse autoroute,0.032823871008382764,90 km,0.030544727625789244,limitation 110,0.0300344601893423,30 km,0.028416854078056632,autoroute france,0.02571048702300362,limitation vitesse,0.025543999869667218,km lieu,0.02043560419610375,autoroute 110,0.01876570306323251,baisser vitesse,0.01732218744298386,100 km,0.01623820233031808,autoroute 130,0.016224800082538335,km mesure,0.016224800082538335,80 km,0.01604451657398947,km paris,0.015878671822735203,km routes,0.015878671822735203
france,2020-06,media,219,ans été,0.042826241880157226,16 ans,0.029894076848617925,17 ans,0.0204478489372865,été condamné,0.0204478489372865,mois prison,0.019948816790964826,23 ans,0.01780275050621697,homme condamné,0.01622272940881634,ans prison,0.016129367783169146,20 ans,0.015454348935760915,10 mois,0.015311305261501927,39 ans,0.014353492586661111,prison sursis,0.014033171926485621,tué balles,0.014033171926485621,volé torturé,0.013510487426782737,torturé tué,0.013222264368357675,14 ans,0.012636138916902247,tué chats,0.012307435857713664,ans tué,0.012026274734258317,condamné jeudi,0.011784963440599979,homme âgé,0.011376663231264364
france,2020-06,media,219,covid 19,0.05342729427578312,22 juin,0.039833277063852035,écoles collèges,0.03790630297553531,fin année,0.03517934042386192,partir 22,0.031714734302943276,lundi 15,0.02185966987194229,école maternelle,0.02173633268518439,15 juin,0.02015745321285921,crèches écoles,0.02006670579112965,19 école,0.020055352490110714,année scolaire,0.01997294117708777,établissements scolaires,0.019544169736318433,élèves partir,0.018527553226834456,accueilleront élèves,0.01602076530967437,fête fin,0.015690081272954726,autorisées décret,0.015690081272954726,scolaires conséquence,0.015690081272954726,sanitaires établissements,0.015690081272954726,terminer année,0.015690081272954726,annexe terminer,0.015690081272954726
