pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
france,2020-06,media,491,ans,0.08786223531984462,jeune,0.03386513906467416,ans été,0.023340683305072375,16 ans,0.01386833594269539,âgé,0.013231515485003904,14 ans,0.012720818244446852,ans prison,0.010472070814093723,mois,0.009818630767929222
france,2020-06,media,419,liga,0.023113225965409982,psg,0.019970224985809915,bayern,0.018449077330249662,barça,0.016661213699007915,vidéo but,0.015458985359625744,mercato,0.014689411958436684,match,0.01206514829825601,club,0.01126001794401662
france,2020-06,media,406,municipales,0.055236535533629595,tour,0.0395613748469994,second tour,0.028394553541681467,tour municipales,0.015298768385180959,élections municipales,0.013934509934478171,élections,0.013673635537353653,premier ministre,0.013069376137247997,premier tour,0.01143298796968942
france,2020-06,media,389,www lequipe,0.07481321743463862,lequipe fr,0.07481321743463862,http,0.07469776802539764,http ow,0.07426758059842434,timeline photos,0.06526884659344037,https,0.06324128196136115,https www,0.06010162314327016,equipe timeline,0.02049137254618611
france,2020-06,media,281,policiers,0.03845740314798476,violences,0.03664686659872457,policières,0.032546561425522695,violences policières,0.03196328644645637,contre violences,0.024259616117172117,manifestants,0.021761428014871666,manifestations,0.018491599507161813,contre racisme,0.013777439376123248
france,2020-06,media,274,il,0.010447878533077706,allocution,0.010261049783761429,macron adressera,0.0087884666988854,manifestants,0.008326624629858661,adressera français,0.008301166989180833,policiers,0.007681278109044982,qu il,0.007587909712102231,président république,0.007350956711804883
france,2020-06,media,261,km,0.17218572280219455,110 km,0.07651215403655157,autoroute,0.04918060632995726,autoroutes,0.0331778636173644,km autoroute,0.03268106712674263,000 km,0.02783915372714302,vitesse 110,0.018342887245474157,parcouru 000,0.018072874008739217
france,2020-06,media,256,silence sportifs,0.015746816142825568,silence,0.01537242085999417,racisme,0.015166843531043325,france,0.012878786479732885,violences,0.011352313495464013,policières,0.010257479591121964,violences policières,0.009854660310408474,le silence,0.009167051472769869
france,2020-06,media,244,enquête,0.02213845240619759,assemblée nationale,0.021967395199332287,audition,0.016519747303680634,commission,0.015190815415760424,commission enquête,0.014430455505640335,enquête assemblée,0.012363373022571417,interview politique,0.010613795111848148,étude,0.009588998885019333
france,2020-06,media,226,hôpitaux,0.039799200551148065,24 heures,0.03738528523293617,24,0.03395396143865345,réanimation,0.03076370728885576,hôpitaux hauts,0.029719015829633124,dernier bilan,0.024893010815037007,supplémentaires,0.02319801903236464,dernières,0.021924314369142817
france,2020-06,media,211,photos,0.034239718898564954,jean,0.03303302450865306,jean pierre,0.029681376367309525,bonjour,0.028860391462641608,timeline photos,0.018647072311020745,photos from,0.01801116062165001,nagui jean,0.017695724020261896,france bleu,0.016253582425624604
france,2020-06,media,190,douloureux empêchant,0.030932614167880266,symptômes polymorphes,0.030932614167880266,enchaînent périodes,0.030932614167880266,polymorphes douloureux,0.030932614167880266,croyaient guéries,0.030932614167880266,guéries covid,0.030932614167880266,périodes rémission,0.030932614167880266,guéries,0.03021488975212379
