pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
france,2020-06,nonmedia,1853,souviens vidéos,0.022219981960720798,vidéos,0.019472271775256098,anniversaire,0.010472176426203536,https www,0.007964713820529795,chanson,0.007386647354326906,clip,0.007051171139307978,film,0.006566010093835089,youtube,0.005317072156865523
france,2020-06,nonmedia,1837,il,0.024637634478246576,qu il,0.02113847411938402,qu on,0.013460357901850416,elle,0.012912224628028171,qu elle,0.01021755854781056,jamais,0.008843992886149675,pas,0.006840751796326637,qu ils,0.006295754624642595
france,2020-06,nonmedia,1557,recette,0.06196588994884466,ingrédients,0.019377495965824738,chocolat,0.013445771085050056,pommes,0.011771927082601202,salade,0.011147043477592962,courgettes,0.0109525293233642,sauce,0.010826198234062778,cuisson,0.010300553827450893
france,2020-06,nonmedia,1518,match,0.022682947051406478,psg,0.018004154846029175,club,0.015099372851768628,football,0.014445228378730409,barça,0.01239070587886547,joueur,0.01103367353880197,matchs,0.011011293219442561,cristiano ronaldo,0.009852895437204155
france,2020-06,nonmedia,1450,algérie,0.007682572892614495,gouvernement,0.005957504164676886,ministre,0.005531383268267738,président,0.005329398871534773,police,0.0049969317484527785,politique,0.004590004543865725,nationale,0.004576089402020245,justice,0.004556031149410473
france,2020-06,nonmedia,1241,violences,0.01355662627806947,police,0.012658037302758387,policières,0.012389206637690454,violences policières,0.01201321981733947,policiers,0.010890277992898278,manifestation,0.007952390948657767,justice,0.0075837719480855575,policier,0.006765879844650885
france,2020-06,nonmedia,693,bisous,0.09172518340222925,rire chansons,0.046416378383864344,bonne,0.030487519775489226,soin bisous,0.02460330727139454,belle,0.023751649921783413,bisous christiane,0.022972424698266995,bisous pensée,0.02119161926445428,bonne soirée,0.020567779828886846
france,2020-06,nonmedia,631,ai,0.11272448036281016,il,0.01713022932658722,qu il,0.015770332951975004,moi,0.013097916409408439,ai droit,0.012927725586373529,tonton jo,0.012509434092052506,avais,0.012182993282222882,jamais,0.011322613032366083
france,2020-06,nonmedia,536,températures,0.03977802375585979,averses,0.024493551316654757,plaine,0.021498066816762,vent,0.021463060359261495,nuages,0.019937421434541323,orages,0.01801790165159003,mont ventoux,0.016953368833843244,rafales,0.0157208167173801
france,2020-06,nonmedia,533,instagram com,0.10173385160669451,https,0.09532675989954262,https www,0.08437063501036969,www instagram,0.08208047354574059,com accounts,0.05658751593797953,instagram https,0.028658944734908137,timeline photos,0.023878535978800075,https instagram,0.022608974837129397
france,2020-06,nonmedia,440,22,0.014815478995532637,22 juin,0.013290998234369317,juin 2020,0.012844299407906063,juillet,0.012632358979940724,15,0.009242899940106969,19,0.00851170134502064,18,0.00828881511677291,juin 1944,0.00734152506719038
france,2020-06,nonmedia,425,https,0.0651034928922704,html utm_source,0.059392952162442225,html,0.05030877959196009,https bit,0.04649251124263567,timeline photos,0.04470270735893225,timeline,0.044695164772003707,bitly timeline,0.03597023041547798,https www,0.03403895844827651
