pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
suisse,2020-06,media,326,floyd,0.03844518506351328,george floyd,0.03705649877469668,etats unis,0.029890489971454666,donald trump,0.023436777268577912,président américain,0.014766944175428022,mort george,0.013532097998738528,états unis,0.011425428918431733,policières,0.01088770187960456
suisse,2020-06,media,262,coronavirus,0.09178888540936586,suisse monde,0.07144646422514875,coronavirus suisse,0.06316531990612659,évolution coronavirus,0.0589578750990372,principales informations,0.037747451229363314,en direct,0.03685960964473828,direct retrouvez,0.03182906069867382,monde coronavirus,0.0297711035517059
suisse,2020-06,media,233,ch astro,0.02271078498509314,femina ch,0.02213093643667423,lenouvelliste,0.021513369459078828,lenouvelliste ch,0.021513369459078828,ly,0.018908570387876897,bit ly,0.018035675251905456,www lenouvelliste,0.015346941673805027,et maintenant,0.011943678273924615
suisse,2020-06,media,206,fc sion,0.06417724686614396,super league,0.030416468916362002,neuchâtel xamax,0.029320088711073777,bâle,0.021373917822242433,neuchâtel,0.02078482163063259,xamax fcs,0.019369688125154404,young boys,0.018597721715572856,young,0.018301064368548482
suisse,2020-06,media,191,coronavirus,0.09745138431903885,apps,0.058288972962656366,site apps,0.057440681359742625,suisse monde,0.05531810793804301,coronavirus suisse,0.04815405162482097,évolution coronavirus,0.0398853046445388,en direct,0.015335142446361172,pandémie,0.013773406777160952
suisse,2020-06,media,187,bundesliga,0.026117414477546178,liverpool,0.019625396309418338,allemagne,0.01912870731129284,finales,0.0187510361439787,real madrid,0.016959516104128443,lucerne,0.016276382222491313,coupe europe,0.01604603104138418,mysports,0.01563117352564223
suisse,2020-06,media,182,conseil,0.035702056866496225,pdc,0.027962906621089925,président,0.02268962764686852,élection,0.01793319656846506,conseil général,0.014931452152347948,communales,0.012774951428136871,quatre,0.01223459491995866,ps,0.011203290436845936
suisse,2020-06,media,171,homme,0.024887000228103244,meurtre,0.02234360795777477,mort,0.01604747292651897,escroquerie,0.014890884388974141,ans prison,0.014593867334104367,colis suspect,0.013573137065082966,une,0.013514511040240401,homicide,0.01283296007637901
suisse,2020-06,media,147,femmes,0.12020718052973764,grève femmes,0.057099179689935685,grève féministe,0.040237863513587144,féministes,0.017520718287645193,an grève,0.01665394625988607,femmes grève,0.013411412979475928,femmes 14,0.012622506333624401,gender,0.012099245472319678
suisse,2020-06,media,147,genève,0.03421831019882622,conseil,0.022057656468762885,ville genève,0.014969214151033276,lausanne,0.010376412334387387,conseil etat,0.008137563293286656,suisse,0.007442087208692698,grand conseil,0.007091644080548805,millions francs,0.006654200911739692
suisse,2020-06,media,146,bit ly,0.05043237952598992,infomaniak,0.04798372752574641,mp3,0.04798372752574641,infomaniak ch,0.04798372752574641,radiocitgenve_2_vod,0.04798372752574641,826 mp3,0.04798372752574641,https str18,0.04381265457177151,str18 infomaniak,0.04381265457177151
suisse,2020-06,media,139,taux chômage,0.018477435200563976,suisse,0.016129476037452222,exportations horlogères,0.015429570596446202,horlogères,0.014924586928911814,lufthansa,0.014324716108671323,pandémie,0.014255476961156666,coronavirus,0.01181284888991654,milliards euros,0.011434592277325522
