pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
suisse,2020-06,nonmedia,801,netflix,0.06956784620279174,casa papel,0.04089674955274633,delphine,0.02720843861851412,huguette raymond,0.026581990951519256,pokora,0.021451931255084707,delphine wespiser,0.018795905206288568,alex pina,0.018795905206288568,matt pokora,0.018795905206288568
suisse,2020-06,nonmedia,790,horoscope,0.18610516564077345,horoscope jour,0.1018454503125927,jour gratuit,0.09759697860294969,grâce horoscope,0.05145548534118178,2020 horoscope,0.04215411015369096,signes horoscope,0.041225846421980204,signes zodiaque,0.03194203576116453,journée horoscope,0.030104448820535767
suisse,2020-06,nonmedia,690,laurence boccolini,0.03406074110207657,requins pèlerins,0.03097863032694782,pèlerins pouvant,0.03097863032694782,touristes inquiets,0.03097863032694782,signalés méditerranée,0.03097863032694782,méditerranée touristes,0.03097863032694782,requins,0.03092883623479205,céline dion,0.029812869951971143
suisse,2020-06,nonmedia,662,lanta,0.11947709306282625,koh lanta,0.11947709306282625,inès loucif,0.07591096749321002,jessica,0.04988845452204986,lanta inès,0.040970101649638345,jessica potel,0.03301660024521521,lanta jessica,0.025912284788554906,alexandra,0.025629792111783217
suisse,2020-06,nonmedia,642,lausanne sport,0.01966844110131484,cup,0.019188306050059133,fc sion,0.018629409560851014,champions cup,0.017735701808005662,fc lausanne,0.017712809008841295,racing 92,0.015838066644025112,stade toulousain,0.01512916136861781,fc barcelone,0.013918154841693656
suisse,2020-06,nonmedia,593,petite fille,0.046064410536141596,accouche,0.0351173109569415,péridurale,0.03440346546907366,basse péridurale,0.03440346546907366,femme accouche,0.03440346546907366,accouche un,0.03440346546907366,voie basse,0.03440346546907366,père enfants,0.0343726178699361
suisse,2020-06,nonmedia,537,agathe auproux,0.13483401757574037,instagram agathe,0.04612128375937023,sophie davant,0.02920288892137186,davant animatrice,0.02920288892137186,craquante,0.02920288892137186,craquante fils,0.02920288892137186,trop craquante,0.02920288892137186,davant,0.029168717547876904
suisse,2020-06,nonmedia,536,été vacances,0.06750396571515774,partir vacances,0.04981795748251224,confinés,0.04180383811384738,confinés été,0.03398250692016165,enora malagré,0.02977503382554456,partir vacance,0.02977503382554456,être confinés,0.02977503382554456,malagré,0.02977503382554456
suisse,2020-06,nonmedia,503,recette facile,0.09855479496837447,marecette ch,0.08892116029423767,marecette,0.08892116029423767,succulente recette,0.05988470634670624,site marecette,0.03754372413521504,découvrir succulente,0.03632782793172097,découvrez succulente,0.027398059861092696,recette découvrez,0.027357803889846172
suisse,2020-06,nonmedia,402,vacances été,0.05586069637944701,estelle denis,0.04241514038552405,koh lanta,0.04238060638488244,lanta,0.04238060638488244,rencontre meilleur,0.03656706463734192,belles plages,0.03589205892783065,plages france,0.03562818545802553,15 belles,0.03562818545802553
suisse,2020-06,nonmedia,330,répulsif,0.06300873093392206,propre répulsif,0.06182780906905486,répulsif moustiques,0.06182780906905486,guy bedos,0.061612544738445005,bedos,0.061471932618460554,moustiques 100,0.04357503837309697,bio naturel,0.04357503837309697,100 bio,0.04329147766597351
suisse,2020-06,nonmedia,327,jean luc,0.07274322324067499,dylan,0.06925984441339766,reichmann révèle,0.049134564507565384,élimination un,0.049134564507565384,un candidat,0.04902004939676663,reichmann,0.04863352649650626,luc reichmann,0.04863352649650626,patrick,0.04468779663384635
