pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
suisse,2020-06,media,4016,crise,0.0055379077775838444,pays,0.004537257892372465,pandémie,0.004431925607139685,juin,0.00431254430992459,mois,0.00401745805864038,cas,0.004001879342773959,lundi,0.003973372875734097,fin,0.003948277839615402
suisse,2020-06,media,1196,crise,0.007322417577049809,police,0.007205838307795497,deux,0.0068214696318718866,pandémie,0.005665710471268254,monde,0.005544211171965468,mois,0.004980228916336289,trois,0.004935759225669191,mesures,0.004576049385158789
suisse,2020-06,media,230,suisse monde,0.040185695681742975,monde,0.039522075409791725,site,0.03832043038048915,juin,0.032436774705542466,direct site,0.029515189791490107,été,0.01754288760908533,monde site,0.011879854638113857,pays,0.009490496434495597
suisse,2020-06,media,201,monde,0.04157589617579909,retrouvez,0.03789314068087281,principales,0.03120180458006744,informations,0.027429348251337794,juin évolution,0.025943929013224898,principales informations,0.02011388225613509,juin suivez,0.015762450113210192,direct décès,0.013756151900339212
suisse,2020-06,media,177,été,0.01707401725104045,faire,0.01111162597590686,pas,0.009616436156045878,mois,0.007031187901021842,pandémie,0.0069809145800829794,crise,0.006444428396341018,estime,0.006305457185352833,avenir,0.006226982707865157
suisse,2020-06,media,161,un,0.010154459736175875,été,0.008578872021400329,de,0.00816940685990544,nombre,0.0077433926363426045,fonds,0.007529527281973994,mai,0.006909251345814975,une,0.006783592863692816,juin,0.005965814800865147
suisse,2020-06,media,151,https,0.06756665789461681,ch,0.056488929754220076,https www,0.049087072468990044,https bit,0.028838746805641965,astro https,0.01642300574395913,www lenouvelliste,0.015115081259523436,rts,0.014021403316902664,www rts,0.013523484604562394
suisse,2020-06,media,140,crise,0.015197256279071682,été,0.011579178427639987,changer,0.010561640071368148,bien,0.0086665296895568,juin,0.0067237929006447785,est ce,0.006124077146635637,canal,0.006120064615475942,ce,0.006120063009567683
suisse,2020-06,media,118,ch,0.07115598064295357,mp3,0.045565769311175223,ch dl,0.045565769311175223,radiocitgenve_2_vod,0.045565769311175223,dl,0.04550459441089706,str18 infomaniak,0.04206801590116185,rencontre,0.018286525868364663,humour jérémy,0.017850439980836616
suisse,2020-06,media,115,été,0.013199437735381217,canal,0.01122874187641256,courrier,0.00923567045335167,une,0.008303184697761434,mois,0.008259305997906466,trois,0.006184642779792192,crise,0.00567754412798896,fin,0.005658380526731383
suisse,2020-06,media,110,mymontreux ch,0.054864084294744694,choix midi,0.031232428889377592,jour choix,0.031232428889377592,menus jour,0.031232428889377592,news commune,0.02993536023566404,midi,0.026943384093920896,savoir,0.02651093931634209,jour,0.020150116963329325
suisse,2020-06,media,98,retrouvez,0.09255671423975768,monde,0.07060289462361229,juin,0.052699740143497195,juin évolution,0.05211063574954512,jour évolution,0.041292281874884214,fin direct,0.03751889084692735,juin retrouvez,0.03682538226800204,fin,0.03187142279805419
