pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
suisse,2020-06,nonmedia,7377,été,0.013236654878137107,faire,0.010976066559031012,monde,0.005494055705603935,bien,0.005043312813617618,crise,0.004913599642091296,juin,0.004570339116670125,année,0.0044615673090728225,faut,0.004426194527654433
suisse,2020-06,nonmedia,995,fans,0.059147248750501584,télé réalité,0.03764093566168982,réalité,0.03609236664410612,réalité koh,0.02852166573563237,candidate,0.028454445016014414,émission,0.021398715056171302,candidate émission,0.020894848676177292,vibrer,0.02066079427846951
suisse,2020-06,nonmedia,817,juin,0.12914931568220636,horoscope jour,0.09682280225770465,jour gratuit,0.09278384975685487,jour,0.0824647839199209,savoir journée,0.06512466707893504,réserve,0.06428196630772398,signes horoscope,0.039192737267796714,avenir réserve,0.0258642342066738
suisse,2020-06,nonmedia,770,bébé,0.06870546045790443,fille,0.06318600146154818,ans,0.04809393160282465,père,0.042053693915846936,bébé atteint,0.0362487340009681,mère,0.03583811455599608,petite fille,0.03500322474469315,internautes bébé,0.028740342745451463
suisse,2020-06,nonmedia,623,fans,0.04385252247503617,dévoile,0.034471100211018936,monter température,0.032637812271181524,moustiques,0.03181748490628379,monter,0.031693423424919674,température,0.0314778849370491,réseaux,0.02688155950807302,davant animatrice,0.025536645717752576
suisse,2020-06,nonmedia,458,été,0.1822112632831502,destinations,0.052218155399666566,ils partir,0.03476977537425093,partir vacance,0.03476977537425093,pourront ils,0.03472908998234166,peur être,0.03464871832024739,impossibles terminer,0.034530578589500684,passer,0.03390330328499803
suisse,2020-06,nonmedia,401,rencontre,0.12207057239812323,rencontres,0.0569904337548168,sites,0.05600502291113301,meilleur site,0.04180263234125154,site rencontre,0.04180263234125154,rencontre gratuit,0.04180263234125154,rencontre meilleur,0.036039007414326134,sites rencontre,0.03573105991825133
suisse,2020-06,nonmedia,380,célébrités,0.05674323283032354,nécessaire maison,0.04541778153277774,vélo produit,0.04541778153277774,énergie nécessaire,0.04532404429726047,nécessaire,0.03802478187523004,commence lettre,0.03565973036309521,lettre devra,0.03565973036309521,devra,0.034714530091985156
suisse,2020-06,nonmedia,377,centre accueil,0.014258520678542571,https centredaccueil,0.010811273809934345,centredaccueil ch,0.010768752333515421,accueil universel,0.010569675518953794,com egliseuniversellesuisse,0.008911845575065956,numéros,0.008286855189080055,87 15,0.008075609485809855,928 87,0.008075609485809855
suisse,2020-06,nonmedia,364,recette,0.29174775073601106,découvrez recette,0.13737413485582636,recette facile,0.13254685521831439,succulente recette,0.0727731264095424,découvrir succulente,0.048249485244978546,recette découvrez,0.03637098301902591,recette traditionnelle,0.028563200853573254,idées recettes,0.025274381642887422
suisse,2020-06,nonmedia,363,papel,0.08811629421835837,casa papel,0.08811629421835837,casa,0.08778810694891227,saga,0.04580535101745986,pina,0.04045034192233056,mythique,0.03932550053413519,tv,0.03775934261510378,netflix casa,0.03130148975237373
suisse,2020-06,nonmedia,340,révèle,0.07022090052330444,gains,0.047360670487899034,profiter gains,0.04732053332418905,pourra profiter,0.04715577861132585,pourra,0.04245006691096028,profiter,0.040945144199735765,gagner,0.040611463328511996,raison,0.03783864319364971
