pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
suisse,2020-06,media,742,service civil,0.0057067205992940035,millions francs,0.004827453071249887,millions euros,0.004326908914354321,etats unis,0.003701977138964349,frontières pays,0.003631549472278002,pays européens,0.0032729766754822365,réforme service,0.0029686783995528624,conseil fédéral,0.0028313734881067975,application swisscovid,0.0028160961278744724,conseil etat,0.002775538656820836,arctique russe,0.002773624908519938,lutte contre,0.002662235390085268,rouvre frontières,0.0026535320091842897,assemblée générale,0.0025802744044950018,effectifs armée,0.002542416957580096,baisse effectifs,0.002542416957580096,civil durcies,0.002542416957580096,république romaine,0.002542416957580096,conditions accès,0.0025017881077503672,national enterré,0.0025017881077503672
suisse,2020-06,media,606,bit ly,0.03557474973043553,https bit,0.032895533245389304,ch dl,0.02681436394124461,826 mp3,0.02681436394124461,infomaniak ch,0.02681436394124461,https str18,0.02477564054394403,https www,0.023584811158752602,lenouvelliste ch,0.0138129273607244,ch https,0.01129244072175529,www lenouvelliste,0.010504821812452266,arcinfo ch,0.00998354756892068,ch dossiers,0.00949255818495887,ly legrandformat,0.009229612689983223,21408826,0.008477467393983038,www radiolac,0.007401008583790558,radiolac ch,0.007224720346492797,21435826,0.007187544490390668,ly culture,0.007187544490390668,www arcinfo,0.006742630845938463,ici https,0.006487146797604102
suisse,2020-06,media,278,play rts,0.04341362743630826,radio play,0.0268052489128429,émissions tv,0.019139322045751337,écouter émissions,0.019139322045751337,visionner écouter,0.019139322045751337,tv radio,0.019139322045751337,rts visionner,0.019139322045751337,radio souhaitez,0.019139322045751337,rts play,0.019139322045751337,rts ch,0.012896262255224798,www rts,0.012554328869753018,https www,0.011737800351570321,bit ly,0.01112123723687991,ch play,0.008931237104280527,mymontreux ch,0.008452437188749952,rts interview,0.007610882502732509,forum idées,0.007237287591241958,play radio,0.0054461961979813235,publicitaire facebook,0.005390803270581337,ch info,0.005368524145915777
suisse,2020-06,media,227,économie valaisanne,0.009754820813280728,point vue,0.009559216075831687,le livre,0.009483400984578269,lives matter,0.00944543907568549,preuves fillette,0.007744064141020868,mémoires iron,0.006774125459952658,ironie convoque,0.006774125459952658,raconte vie,0.006774125459952658,pléthore écrivains,0.006774125459952658,hanter mémoires,0.006774125459952658,livre image,0.006774125459952658,livre départs,0.006774125459952658,allemands preuves,0.006774125459952658,expédier adversaires,0.006774125459952658,adversaires enfer,0.006774125459952658,enquêteurs allemands,0.006774125459952658,exilé france,0.006774125459952658,convoque le,0.006774125459952658,migrant ironie,0.006774125459952658,vie migrant,0.006774125459952658
suisse,2020-06,media,225,coupe europe,0.019532685757475715,super league,0.019480566199437794,coupe suisse,0.018528637796530807,finale coupe,0.018451901952555017,revivre finale,0.014644741761518946,finale légende,0.014644741761518946,légende coupe,0.014644741761518946,semaine jusqu,0.014496392782741905,coupes europe,0.014227266073886724,fois semaine,0.014104363632824017,trois fois,0.01387781667856053,finales coupe,0.013460936155403199,jusqu fin,0.013000873472433299,points avance,0.01260749241515589,manchester united,0.012522516990882453,fin juin,0.012282497553048123,match amical,0.012089454542420585,finales coupes,0.011914013718010721,football finales,0.011914013718010721,premier match,0.011719611454485428
suisse,2020-06,media,224,conseil fédéral,0.012339051638333133,droits homme,0.010385054128060556,lever restrictions,0.009938911464988754,allemagne france,0.009794462540147451,millions doses,0.008513563715111595,déplacements ensemble,0.008189407511138554,ensemble membres,0.008189407511138554,restrictions déplacements,0.008189407511138554,situation conseil,0.00805853747152035,union européenne,0.0075591321062112,contre projet,0.007519901371524235,amélioration situation,0.007351883286275909,italie pays,0.007295553759520076,groupe pharmaceutique,0.007295553759520076,pays bas,0.007295553759520076,pharmaceutique astrazeneca,0.007165731572246235,fédéral décidé,0.006968727190396209,france italie,0.0069487864529129756,conseil droits,0.006693710084680692,réouverture frontières,0.006575316949597636
suisse,2020-06,media,214,réchauffement climatique,0.008802956824504802,crise covid,0.007122198434893256,pénurie accentuent,0.00708104376558158,champignons chute,0.00708104376558158,dangers pénurie,0.00708104376558158,nombre aliments,0.00708104376558158,agrobiodiversité dangers,0.00708104376558158,aliments quotidien,0.00708104376558158,climatique bactéries,0.00708104376558158,accentuent grand,0.00708104376558158,chute agrobiodiversité,0.00708104376558158,bactéries champignons,0.00708104376558158,grand nombre,0.006909801363517919,dues amiante,0.006815040924664538,maladies dues,0.006815040924664538,exprime édition,0.006041354900038862,grande boucle,0.006041354900038862,tandis épreuve,0.006041354900038862,épreuve dû,0.006041354900038862,édition été,0.006041354900038862
suisse,2020-06,media,207,qu on,0.019104047261295283,qu il,0.016965921424295274,est ce,0.010347244771406711,débattre actualité,0.00963770659211231,table te,0.00963770659211231,asseyez vous,0.00963770659211231,actualité ballon,0.00963770659211231,vous autour,0.00963770659211231,te équipe,0.00963770659211231,autour table,0.009391857675184108,équipe débattre,0.007950881078775295,ça est,0.007823822787883834,qu est,0.007388910987260535,est voir,0.007083061902446676,aurais jamais,0.007083061902446676,rôle qu,0.007083061902446676,jamais cru,0.007083061902446676,ce aime,0.006957020943928384,ai été,0.0067463946144786175,qu ils,0.006532818386888408
suisse,2020-06,media,203,fête musique,0.011173101170293503,raison pandémie,0.009747091858875354,rouvre portes,0.009683784428656635,vapeur parc,0.008069012718200328,swiss vapeur,0.008069012718200328,jusqu au,0.008021048193329274,semaines fermeture,0.007824720434934849,plein air,0.007469653140102755,propulser marcos,0.007186251641360475,aimerait propulser,0.007186251641360475,désireux conserver,0.007186251641360475,pentecôte suisses,0.007186251641360475,conserver monde,0.007186251641360475,monde jusqu,0.007186251641360475,fantastique neuchâtel,0.007041599767891043,international film,0.007041599767891043,film fantastique,0.0069162966156002805,au terme,0.0069162966156002805,organisent festival,0.0069162966156002805,festival international,0.0068057714022849375
suisse,2020-06,media,193,est gratuit,0.009469788948274912,inscrivez vous,0.009343508484804457,vous est,0.009228223454013295,bien sûr,0.008486764973807369,décision voyager,0.007609952466853078,moustiques coups,0.007609952466853078,boutons moustiques,0.007609952466853078,suisse faire,0.007609952466853078,voyager étranger,0.007609952466853078,peau pèle,0.007609952466853078,coups soleil,0.007609952466853078,remèdes naturels,0.007609952466853078,faire séjour,0.007609952466853078,preniez décision,0.007609952466853078,étranger rester,0.007609952466853078,soleil peau,0.007609952466853078,approchent preniez,0.007609952466853078,vacances approchent,0.007324080914234547,rester suisse,0.007207039143128501,lettres facebook,0.006492605489624407
suisse,2020-06,media,191,évolution coronavirus,0.11288809024266303,retrouvez ici,0.08541118220055434,juin évolution,0.08298114416896432,principales informations,0.07971331792073873,direct retrouvez,0.06902121966973264,ici principales,0.0586262246078676,jour évolution,0.050486294540166926,retrouvez principales,0.049773052755012905,coronavirus nouvelles,0.049172116069478994,fin direct,0.047696625189600196,juin retrouvez,0.04656104420139472,principales infos,0.04486431800545142,infos jour,0.04486431800545142,infos principales,0.0380702816630127,évolution covid,0.03702328266278908,retrouvez informations,0.03549078196928282,monde fin,0.033033783054454376,informations jeudi,0.031440939217628146,informations évolution,0.025468731069507398,retrouvez direct,0.02280849397614404
suisse,2020-06,media,177,https www,0.03229399942880758,telebielingue ch,0.029798356312107054,www telebielingue,0.02851486026781844,sept info,0.018808821019982862,switzerland litterature,0.016844690183359934,printsnotdead magazine,0.016844690183359934,revue swissmagazine,0.016844690183359934,mook swissquality,0.016844690183359934,storytelling printisnotdead,0.016844690183359934,medias mook,0.016844690183359934,media storytelling,0.016844690183359934,mooks medias,0.016844690183359934,grandreportage immersion,0.016844690183359934,journalisme mooks,0.016844690183359934,litterature media,0.016844690183359934,litteraturedureel journalisme,0.016844690183359934,magazine revue,0.016844690183359934,info 2020,0.016479926872215975,terrenature ch,0.016041182387528326,ch de,0.015700892973512137
suisse,2020-06,media,170,chronique économique,0.007847025256729093,économique pierre,0.007847025256729093,micro organismes,0.006864190767083788,masques chirurgicaux,0.00604289641523961,observés suisse,0.00585634179061132,répand europe,0.00585634179061132,viande maladie,0.00585634179061132,émergente causée,0.00585634179061132,maladie émergente,0.00585634179061132,énergies propres,0.00585634179061132,modes vie,0.00585634179061132,causée acariens,0.00585634179061132,acariens répand,0.00585634179061132,unis cas,0.005720158972569824,énergies renouvelables,0.005605018040520781,europe états,0.005605018040520781,contre coronavirus,0.005484988015565429,recherche scientifique,0.005417301855667998,cycle orientation,0.005142634407113085,cas été,0.004899564194658179
suisse,2020-06,media,160,site apps,0.10858488661984375,apps évolution,0.09996036743475392,suisse monde,0.09954882796677393,suivez direct,0.09381595747497805,direct site,0.08633926625384118,coronavirus suisse,0.08356617886848756,évolution coronavirus,0.07844697453205078,monde direct,0.03253452758427097,monde site,0.02259719810196034,direct actualité,0.0197869391984947,actualité liée,0.018808482948681555,suivre site,0.018731514976019364,proposons suivre,0.018731514976019364,direct proposons,0.018731514976019364,juin évolution,0.018708881899143458,liée coronavirus,0.017408474949600877,évolution pandémie,0.017101387310657693,monde coronavirus,0.015710802024428296,évolution covid,0.01517681527189838,efforts coronavirus,0.01462890038532381
suisse,2020-06,media,155,contre racisme,0.06123665512905586,manifestations contre,0.025239023192344192,milliers personnes,0.021337579986056076,violences policières,0.019024704930476807,grève femmes,0.017059368859359266,etats unis,0.015743908056930885,grève féministe,0.01403400980565935,personnes manifesté,0.013718830287933559,25 mai,0.01340967070507427,contre violences,0.012346947259140203,femmes grève,0.011066278437466671,états unis,0.009729283835413445,premières actions,0.009689770770742066,discrimination raciale,0.009603181201553491,racisme ordinaire,0.009325769835543693,000 personnes,0.008979795726123058,racisme genève,0.008812739331821848,2000 personnes,0.008812739331821848,suite décès,0.008812739331821848,personnes rassemblées,0.008711462181665538
suisse,2020-06,media,146,14 juin,0.05356621971481847,grève féministe,0.03768592788946946,grève femmes,0.03219081859573483,juin 2019,0.027646677296030184,an grève,0.016116876681033097,samedi juin,0.012909328373744491,an tard,0.012627958070066747,dimanche 14,0.011087605625377531,juillet août,0.010715788219288355,cinémas reprennent,0.010451250908982202,arrêtés covid,0.010451250908982202,féministe 14,0.010451250908982202,juin cinémas,0.010265274039031614,films arrêtés,0.009954489148621851,reprennent séances,0.009954489148621851,10 juin,0.009251607070398963,neuchâtelois grève,0.009142238956398504,présidente confédération,0.008856359120259357,27 septembre,0.008663072210858836,million personnes,0.008314765203242978
suisse,2020-06,media,139,nouveaux cas,0.05408017069981656,24 heures,0.042296106933047965,suisse compte,0.02568769884797913,cas 24,0.025043149063744295,heures suisse,0.024853836074942876,covid 19,0.02217922658960306,cas testés,0.020151427918194985,cas supplémentaires,0.017989400464263075,étapes pandémie,0.01769505995151541,testés positifs,0.017621441139651722,décès enregistrés,0.016721738158647942,juillet 2021,0.0145329987079162,enregistrés 24,0.014070737986487353,supplémentaires coronavirus,0.014070737986487353,24 février,0.013866330864064325,cas infection,0.013707406441789652,tests été,0.013512613681234922,effectués positifs,0.013512613681234922,été effectués,0.013079698837124579,20 mars,0.012836873166379579
suisse,2020-06,media,135,taux chômage,0.034524287762580874,exportations horlogères,0.01748309533584797,passant contre,0.016133912435012387,chômage légèrement,0.016133912435012387,contre mois,0.016133912435012387,mois précédent,0.014734571900522535,mai passant,0.013310097986500584,légèrement accéléré,0.013310097986500584,avril taux,0.013310097986500584,mesures confinement,0.012299505141470475,mai taux,0.011857333424050688,clairement reculé,0.011857333424050688,reculé passant,0.011857333424050688,nombre pratiquent,0.011857333424050688,accéléré suisse,0.011857333424050688,sportifs première,0.011857333424050688,fois nombre,0.011857333424050688,premier trimestre,0.010879167631986679,mois dernier,0.010762066998786667,retard alémaniques,0.010372210608320288
suisse,2020-06,media,126,camion citerne,0.02566910674879659,un camion,0.023384990571799363,explosion un,0.017787761011165557,un colis,0.014656657738055577,effondrement immeubles,0.013056919480125417,septantaine personnes,0.012824575520798631,décupler contrôles,0.011421549340009662,plein champ,0.011421549340009662,échantillons plein,0.011421549340009662,immeubles usines,0.011421549340009662,contrôles ici,0.011421549340009662,évacuée découverte,0.011421549340009662,un parti,0.011421549340009662,débusquer pollueurs,0.011421549340009662,pbd favorable,0.011421549340009662,défaut technique,0.011421549340009662,favorable création,0.011421549340009662,champ permettent,0.011421549340009662,permettent débusquer,0.011421549340009662,pollueurs confédération,0.011421549340009662
suisse,2020-06,media,109,migros neuchâtel,0.03710739743004851,neuchâtel fribourg,0.03698803745719038,conseiller etat,0.029917586089678774,été élu,0.02747520387752836,grand conseil,0.026055502800878826,ancien conseiller,0.019862326263519938,bernoise regula,0.018394597906318103,succède bernoise,0.018394597906318103,affaire maudet,0.017925368849656505,fédération suisse,0.016365396807296533,vice présidence,0.015581014520078413,secrétaire général,0.015423181242441693,comité directeur,0.014753579445288215,gouvernement jurassien,0.013619446932200296,été nommé,0.013244742551769583,médaillé olympique,0.013139517585032564,etat neuchâtelois,0.012821761809513233,maudet conseiller,0.01264592523881847,plr genève,0.012443838245985099,présidence grand,0.012443838245985099
