pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
suisse,2020-06,nonmedia,670,casa papel,0.07731089671840491,souviens tu,0.05007007971171714,créateur alex,0.037092845139906384,série tv,0.03354222078376503,série netflix,0.0325522469217031,il saison,0.031929829810331635,dessin animé,0.03172220837847434,terminer netflix,0.028184682620517085,films horreur,0.028184682620517085,horreur impossibles,0.028184682620517085,10 films,0.02760607576341875,netflix casa,0.027366227998578276,confirmée créateur,0.02654171091954182,ressemblance nairobi,0.02654171091954182,papel saison,0.02654171091954182,actrice elite,0.02654171091954182,papel ressemblance,0.02654171091954182,nairobi actrice,0.02654171091954182,saison confirmée,0.02648616024319277,tu série,0.026340199696300658
suisse,2020-06,nonmedia,568,petite fille,0.06981978942285956,accouche un,0.05229667834262832,kg voie,0.05229667834262832,basse péridurale,0.05229667834262832,femme accouche,0.05229667834262832,danseur professionnel,0.05229667834262832,un bébé,0.05229667834262832,bébé kg,0.05229667834262832,devient danseur,0.05229667834262832,jambes devient,0.05229667834262832,bras jambes,0.05229667834262832,voie basse,0.05229667834262832,belle fille,0.04220895910311838,fils belle,0.04220895910311838,donné naissance,0.0420876846270161,cide vivre,0.03140979301814466,jours sdf,0.03140979301814466,famille riche,0.03140979301814466,vivre jours,0.03140979301814466,troubles santé,0.031113632195022608
suisse,2020-06,nonmedia,515,découvrez recette,0.14092362290097696,recette facile,0.12994803279836697,succulente recette,0.08527655244209073,ch propose,0.06316389802950069,facile découvrez,0.06300930097526743,propose découvrir,0.061236503817713187,découvrir succulente,0.05103717126947041,découvrez succulente,0.04247610216454921,femme est,0.0409836400971967,ch découvrez,0.040491701181227524,intimes femme,0.04026664454217436,est mariée,0.04018569222602222,recette gourmande,0.03902704579912644,race chat,0.03850617258496527,recette découvrez,0.03591957536768285,recette traditionnelle,0.03453798074278456,découvrez race,0.03170454845320736,photo prince,0.03040589011482567,recette salade,0.02845547561306509,gourmande marecette,0.023775874753517733
suisse,2020-06,nonmedia,504,coups partie,0.052911879691397726,astuce gagner,0.052911879691397726,gagner coups,0.052911879691397726,partie monopoly,0.052911879691397726,mois naissance,0.05169841465945768,kilos poisons,0.0439208997063285,poisons côlon,0.0439208997063285,révèle caractère,0.03688890094324713,femme révèle,0.03688890094324713,naissance une,0.03688890094324713,une femme,0.03512840996091355,prénom commence,0.030988697671706446,commence lettre,0.030988697671706446,amis famille,0.030413011755815123,est prénom,0.030171342942549216,jeu captivant,0.02954551943366385,homme arrêté,0.02954551943366385,monopoly astuce,0.02954551943366385,monopoly amis,0.02954551943366385,monopoly jeu,0.02954551943366385
suisse,2020-06,nonmedia,498,facebook com,0.08445934239943974,www facebook,0.054203285176904745,https 3a,0.03783155203509641,06 2020,0.036807761895246024,est visible,0.034082995713265965,aide alerte,0.034082995713265965,visible plate,0.034082995713265965,plate forme,0.03389577390465216,https www,0.033190710541739055,next https,0.03285341780301374,com login,0.032813147815795474,france alerte,0.03280358848576189,petalert france,0.029075774367600244,2fwww facebook,0.02770771201726467,login next,0.026469296969084722,alerte découverte,0.02412409508371698,2020 chat,0.022156899000980064,photo avant,0.021898754803010616,publie photo,0.021898754803010616,passe ans,0.021898754803010616
suisse,2020-06,nonmedia,426,vacances été,0.3216609789751008,été français,0.12946554943472502,été vacances,0.1264600502996496,année vacances,0.10066477013558851,français pourront,0.09633881380246294,partir vacances,0.09607380761928022,confinés été,0.06693422307920636,partir vacance,0.05901734254294959,être confinés,0.05901734254294959,ils partir,0.05901734254294959,peur être,0.05875381412683035,pourront partir,0.05080261964664114,été année,0.05080261964664114,péages seront,0.04222974104861288,partir portugal,0.04222974104861288,été destinations,0.04222974104861288,gratuits été,0.04222974104861288,français demandent,0.04222974104861288,destinations vacances,0.042141355989925175,été partir,0.042141355989925175
suisse,2020-06,nonmedia,404,canicule attendue,0.08379830323914157,été canicule,0.0772624776198608,vacances été,0.06526218635011818,affaire conclue,0.055396193301020545,attendue juillet,0.055396193301020545,davant animatrice,0.055396193301020545,mois juillet,0.054068978845262176,canicule prévue,0.04768550424132507,attendue mois,0.03963863497375433,été effectivement,0.03963863497375433,émission sophie,0.03963863497375433,pleine émission,0.03963863497375433,juillet spécialistes,0.03963863497375433,conclue menottée,0.03963863497375433,effectivement canicule,0.03963863497375433,spécialistes risque,0.03963863497375433,animatrice affaire,0.03963863497375433,raison santé,0.03116990822356284,août spécialistes,0.03116990822356284,août vacances,0.03116990822356284
suisse,2020-06,nonmedia,404,monter température,0.07404648929216134,photos instagram,0.07232416571210476,cyril hanouna,0.06652009937268838,instagram agathe,0.05558377891823998,prise poids,0.05297168378682177,iris mittenaere,0.05048830257263859,touche poste,0.04196846458817423,miss france,0.04196846458817423,auproux selfie,0.04196846458817423,selfie naturel,0.04196846458817423,mini robe,0.04188062637004761,critiquée prise,0.03438039303499099,choc fans,0.03300197371487178,tourner tête,0.03300197371487178,mittenaere buzz,0.03300197371487178,émission tpmp,0.03300197371487178,émission touche,0.03300197371487178,messages pleins,0.03300197371487178,britney spears,0.03300197371487178,auproux choc,0.03300197371487178
suisse,2020-06,nonmedia,370,savoir journée,0.1824292054700794,2020 savoir,0.18224614318616786,horoscope jour,0.10980957032337756,jour gratuit,0.09653785308616505,2020 réserve,0.08382649388148022,journée horoscope,0.0820405825601955,grâce horoscope,0.08084098477689801,argent santé,0.06639893931888384,réserve bien,0.06639893931888384,scorpion journée,0.06639893931888384,prédisent astres,0.06639893931888384,journée amour,0.06639893931888384,découvrez horoscope,0.06629929389785488,bien surprises,0.06629929389785488,journée découvrez,0.06629929389785488,santé découvrez,0.06590878128982335,surprises horoscope,0.05762776850547642,2020 horoscope,0.05247026128746163,avenir réserve,0.05239155867592514,réalisé astrologue,0.03736084957074838
suisse,2020-06,nonmedia,351,emmanuel macron,0.03592578695539917,conseil état,0.024767375264346966,nécessaire maison,0.024097287998286084,énergie nécessaire,0.02403500249797345,retrait statue,0.023770899439183132,demande retrait,0.023647341167360975,macron enfance,0.02344348154769004,macron colère,0.02344348154769004,fasciste raciste,0.016647296502649553,raciste pétition,0.016647296502649553,enfance mariage,0.016647296502649553,état rétablit,0.016647296502649553,colère face,0.016647296502649553,pétition demande,0.016647296502649553,liberté manifester,0.016647296502649553,rétablit liberté,0.016647296502649553,gandhi fasciste,0.016647296502649553,femme emmanuel,0.016647296502649553,gouvernement conseil,0.016647296502649553,faux gouvernement,0.016647296502649553
