pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
suisse,2020-06,media,727,ch,0.03987668319892641,bit ly,0.01964304453826996,https bit,0.018437609175603387,ch dl,0.014021747134563674,infomaniak ch,0.014021747134563674,dl,0.014002922060486145,ch astro,0.008515119634374489,femina ch,0.008515119634374489
suisse,2020-06,media,531,été,0.013114821408020132,suisse,0.012699640243369826,mercredi,0.006933066294409481,annoncé,0.006308615430867736,millions,0.006150083395634108,année,0.005472871309300758,accord,0.005190760828327784,contre,0.004916756377826941
suisse,2020-06,media,251,évolution coronavirus,0.08015074937456133,site apps,0.05016714105567235,site,0.044376375047647305,apps évolution,0.04410426676195193,informations,0.042362498157168464,direct site,0.03774414349109545,direct retrouvez,0.03240731274217032,principales informations,0.028969992037233935
suisse,2020-06,media,249,rts,0.038486088929503115,play rts,0.030970979862841506,tv,0.01796050921173451,tv radio,0.01310737781878182,rts play,0.01310737781878182,rts visionner,0.01310737781878182,émissions tv,0.01310737781878182,www rts,0.009091562364723178
suisse,2020-06,media,242,match,0.0451056646135434,football,0.03474566789751221,coupe,0.02910968363233319,finale,0.023979382628757984,league,0.020948333874671942,super league,0.01693635383291833,finales,0.016669182246138243,finale coupe,0.0123975511742299
suisse,2020-06,media,190,contre,0.010310093565065561,crise,0.008671645486079635,pandémie,0.006387609361939583,réchauffement climatique,0.00627382152535942,attaquant,0.00619949266813743,réchauffement,0.006140875704033626,climatique,0.005937415294880876,autorités,0.005737754758915896
suisse,2020-06,media,186,festival,0.011201038138464145,année,0.010508684564835162,canal,0.010501027225631928,ville,0.010056807515151162,parc,0.009141001428787125,concerts,0.009047106606161707,fête musique,0.007817274628209555,visiteurs,0.007363506562535522
suisse,2020-06,media,155,onu,0.010136216701248722,millions,0.009637198038878015,fédéral,0.008972334995548722,oms,0.008498593461533725,300 millions,0.007708095597210251,conseil fédéral,0.007700379018505843,millions doses,0.007640471978698287,accord,0.007494841828674438
suisse,2020-06,media,138,coronavirus suisse,0.06256608556546663,actualité liée,0.0405904713912282,liée coronavirus,0.038262496648487625,monde site,0.03549651610855933,actualité,0.03543749388661485,direct actualité,0.030959483431699825,évolution coronavirus,0.030338191324861225,évolution,0.02854265510996053
suisse,2020-06,media,132,19,0.018351017916628364,septembre,0.016188485706554612,14,0.015830042707836032,13,0.013417799875254089,27,0.012118156888792496,samedi juin,0.0119412794672914,covid 19,0.011824836152649737,11,0.010306365393601621
suisse,2020-06,media,126,club,0.05028776730873224,championnat,0.024467678268992356,football,0.016860016055257453,coupe suisse,0.016495598532506865,club valaisan,0.013031540689104237,champions,0.011750909870337996,tournoi,0.011013305919923189,clubs,0.01043459615780548
suisse,2020-06,media,126,grève,0.0532277073701365,contre racisme,0.03833851820893041,14 juin,0.03217335018177434,manifestations,0.029992506039012795,grève femmes,0.028269099287346,grève féministe,0.027459047436980983,juin 2019,0.017213454318450352,violences,0.01552046940852421
