pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
suisse,2020-06,nonmedia,822,horoscope jour,0.09433734793568031,jour gratuit,0.0904020758873232,savoir journée,0.06345290813902214,2020 savoir,0.06340666842279856,2020 horoscope,0.03929136930360625,journée horoscope,0.02788513236554087,2020 réserve,0.025200295845091092,avenir réserve,0.025200295845091092
suisse,2020-06,nonmedia,593,prédictions,0.010325814166294096,bien,0.009553754577970773,état,0.009376750286555107,conseil état,0.009117363645185304,scientifiques,0.008858912570661305,graisse abdominale,0.008693494077106446,banques,0.008260651333035277,banques françaises,0.008218278413613306
suisse,2020-06,nonmedia,570,koh lanta,0.10560233394490791,koh,0.10560233394490791,émission,0.06186107485409837,télé réalité,0.03219916301695237,réalité koh,0.031696899614280225,télé,0.03162933936202557,émission télé,0.03092917262054995,animatrice,0.026991189292033195
suisse,2020-06,nonmedia,561,fans,0.10040089810709797,hallyday,0.05599187884876187,télé réalité,0.03908738986720995,compte instagram,0.03907117925236732,jade hallyday,0.037477999946873446,laeticia hallyday,0.027195343957850907,laeticia,0.02692895392003736,réjouis fans,0.02650038274437304
suisse,2020-06,nonmedia,522,jean,0.053753131438263324,coups midi,0.052290902969911936,jean luc,0.047106891037549975,luc,0.04574360509536771,un,0.03290755597237162,luc reichmann,0.032398122102230115,élimination un,0.030448277050393192,un candidat,0.030377312997795957
suisse,2020-06,nonmedia,496,découvrez recette,0.09680233655655016,recette facile,0.08886392900709626,succulente recette,0.0525231315016269,facile découvrez,0.04243793653051784,découvrir succulente,0.03186943696837431,ch découvrez,0.029391704687135877,découvrez succulente,0.023674916454798987,recette traditionnelle,0.023338315829651374
suisse,2020-06,nonmedia,469,vacances été,0.21677221703967572,été français,0.07910522118234888,été vacances,0.07789853537016818,confinés été,0.03908583136690598,ils partir,0.034246500818298664,être confinés,0.034246500818298664,partir vacance,0.034246500818298664,peur être,0.034127265636179446
suisse,2020-06,nonmedia,367,scènes ménages,0.06347436281233393,scènes,0.06155652649324086,émission,0.051687916929858024,cyril hanouna,0.04684004413844725,pokora,0.04684004413844725,matt pokora,0.04104064193641994,révélations,0.0374807115370937,comportement influenceurs,0.03507974388174176
suisse,2020-06,nonmedia,357,timeline photos,0.12445707308977803,timeline,0.12445707308977803,photos,0.09940067838160105,tague,0.04456297044187494,photos fun,0.03717981180269124,photos tague,0.03587548967467806,tague prénom,0.03522043177159464,contrat fc,0.030484683557780952
suisse,2020-06,nonmedia,349,photo,0.051401460130017375,propre répulsif,0.04543589727379959,répulsif moustiques,0.04543589727379959,répulsif,0.04517437149608187,selfie,0.045022431760131945,photos instagram,0.03262685216459937,auproux selfie,0.03202233747294217,selfie naturel,0.03202233747294217
suisse,2020-06,nonmedia,327,série,0.11996794416934883,tu,0.06347433180472814,souviens tu,0.06279062820459007,créateur alex,0.044714957801478494,tv,0.0416914088717704,série tv,0.04084600195087327,série netflix,0.037914241478657136,netflix casa,0.03422498543075013
suisse,2020-06,nonmedia,318,https www,0.01880411459470702,vous,0.01644565597823358,https bit,0.016191500453114627,bit ly,0.01530073063169324,dossiers ma,0.01516080944940341,vous ne,0.014592809744290905,comme vous,0.014592809744290905,ne avez,0.014592809744290905
