page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
La Parole Vivante,laparolevivante,543062075763417,#543062075763417,13512,21379356,"1582,2",non
Le Journal de Montréal,jdemontreal,103984323029572,#103984323029572,11660,10367193,"889,1",oui
TVA Nouvelles,TVAnouvelles,163706859094,#163706859094,11041,24439850,"2213,6",oui
Radio-Canada Information,radiocanada.info,131191820259167,#131191820259167,8740,8664409,"991,4",oui
La Presse,LaPresseFB,78302173311,#78302173311,8252,5740738,"695,7",oui
Le Journal de Québec,JdeQuebec,123603337695336,#123603337695336,7338,4465698,"608,6",oui
Le Devoir,ledevoir,98317905527,#98317905527,5407,3500489,"647,4",oui
RDS,RDS,132756582352,#132756582352,4345,2815454,648,oui
Narcity Québec,NarcityQuebec,271036236431606,#271036236431606,4065,3826750,"941,4",oui
ConneriesQc,conneriesqc,166259473465593,#166259473465593,3555,4950513,"1392,5",non
Le Soleil,lesoleildequebec,192978590727638,#192978590727638,3152,1711067,"542,9",oui
La victoire de l'amour page officielle,lavictoiredelamour,182785011797968,#182785011797968,2984,2112775,708,non
Ma Fourchette,MaFourchette,794911353929249,#794911353929249,2964,2109450,"711,7",non
Québec FIER,quebecfierpage,2011047962493582,#2011047962493582,2833,2397004,"846,1",non
Grands Titres,grandstitres,1414711115476305,#1414711115476305,2575,858093,"333,2",non
Olivier Primeau,oliprimeau,100044355129827,#100044355129827,2534,2119914,"836,6",non
TROP CUTE [Fan-O-web],tropcute,1395785187343769,#1395785187343769,2471,996448,"403,3",non
Trucs & Bricolages,TrucsBrico,423432611037938,#423432611037938,2463,1992184,"808,8",non
Veux-Tu Rire?,VeuxTuRire,377628862262451,#377628862262451,2420,799036,"330,2",non
Gratuit,rienquedugratuit,218080198269394,#218080198269394,2373,1656807,"698,2",non
ICI Québec,iciquebec,188385537886041,#188385537886041,2361,1445594,"612,3",oui
Circulaires,circulaireenligne,284908468238318,#284908468238318,2344,1616944,"689,8",non
Salut Bonjour,SalutBonjour.tv,119123001761,#119123001761,2342,1505558,"642,9",oui
Les Mots Positifs,lesmotspositifs,100510906761717,#100510906761717,2252,2149455,"954,5",non
QC Lifestyle,qc.lfstl,101033613288663,#101033613288663,2229,801530,"359,6",non
Recette de Maman,recettedemaman,430718797134038,#430718797134038,2098,1651140,787,non
Les OutsiderZ,LesOutsiderZ,182513512155877,#182513512155877,1974,773092,"391,6",non
MSN Québec,msncanadafr,196774760345640,#196774760345640,1936,827463,"427,4",oui
Le Nouvelliste,lenouvelliste,103058656428479,#103058656428479,1881,731146,"388,7",oui
J'avoue Que,javoueque,1390804037811350,#1390804037811350,1874,787172,420,non
Téléjournal Acadie,infoacadie,354781794549447,#354781794549447,1807,760214,"420,7",oui
ICI Saguenay–Lac-Saint-Jean,icisaguenaylacsaintjean,471020985450,#471020985450,1806,1287877,"713,1",oui
Ayoye - FR,AyoyeFR,1594589180817644,#1594589180817644,1768,866798,"490,3",non
DansLesCoulisses.com,DLCoulisses,378427255005,#378427255005,1761,582768,"330,9",non
La Tribune,Latribunedesherbrooke,315133550256,#315133550256,1754,673326,"383,9",oui
Le Chef Cuisto,chefcuisto,100044379791216,#100044379791216,1746,1049530,"601,1",non
Les Maisons,LesMaisons.co,332088116982339,#332088116982339,1732,797472,"460,4",non
"98,5 FM",985fm,141792675836335,#141792675836335,1719,763639,"444,2",oui
Gabriel Tellier,GabrielTellierofficiel,100044565843707,#100044565843707,1660,2096342,"1262,9",non
RPM,rpmweb,129544540427273,#129544540427273,1651,872271,"528,3",non
TVA Gatineau-Ottawa,tvagatineauottawa,213820898747207,#213820898747207,1651,713980,"432,5",oui
KoalaQuiz Français,KoalaquizFR,949681725123273,#949681725123273,1627,785469,"482,8",non
BuzzUltra,buzzultra,631338173655333,#631338173655333,1620,1644414,"1015,1",non
Ayoye France,AyoyeFrance,1418868275098941,#1418868275098941,1618,770351,"476,1",non
"Actualités, trucs et astuces",trucsastucesmag,497410677108221,#497410677108221,1583,868391,"548,6",non
"104,7 Outaouais",1047fm.Outaouais,271598752944478,#271598752944478,1553,570132,"367,1",oui
TVA Sports,TVASports,127476907331141,#127476907331141,1544,1120614,"725,8",oui
BlaguesQuébec,BlaguesQuebec,402655366470792,#402655366470792,1496,897622,600,non
Le Quotidien,LeQuotidienProgres,290633408116,#290633408116,1487,602312,"405,1",oui
Spotted : Clients de marde,Spottedclientsdemarde,486273498146486,#486273498146486,1416,690455,"487,6",non
enVedette.ca,enVedette.ca,113864875360093,#113864875360093,1395,1042736,"747,5",non
ICI Estrie,iciestrie,211536155525838,#211536155525838,1364,846069,"620,3",oui
Acadie Nouvelle,acadienouvelle,26891234963,#26891234963,1324,462831,"349,6",oui
Le Guide de l'auto,guideauto,29669898800,#29669898800,1322,993085,"751,2",non
EMCI TV,emcitv,365057285222,#365057285222,1316,2207163,"1677,2",non
Ayoye OMG,AyoyeOMG,1571289526456424,#1571289526456424,1310,527579,"402,7",non
Université de Médecine Énergétique,universitymedecinenergy,141168235937410,#141168235937410,1309,1286443,"982,8",non
MétéoMédia,meteomedia,8157654607,#8157654607,1287,1391123,"1080,9",non
VedetteQuebec.com,vedettequebec,1035802559777703,#1035802559777703,1233,1024570,831,non
7 Jours,magazine7Jours,113918058635710,#113918058635710,1232,1169666,"949,4",non
Maurais Live - Radio X,MAURAIS.LIVE,218942341504026,#218942341504026,1223,649654,"531,2",non
QUB Radio,qubradio,2215333488686146,#2215333488686146,1217,361556,"297,1",oui
Radio-Canada,RadioCanada,177681485609462,#177681485609462,1213,897831,"740,2",non
François Charron - Page officielle,francoischarroncom,125426694946,#125426694946,1204,807009,"670,3",non
JEAN BONIN Kouadio,LACOTEDIVOIREFRATERNELLE,670688723378128,#670688723378128,1177,1228338,"1043,6",non
African Heroes,africanheroesmagazine,1056370214548428,#1056370214548428,1171,7013702,"5989,5",non
ICI Mauricie Centre-du-Québec,icimauriciecentreduquebec,353039654402,#353039654402,1164,552674,"474,8",oui
La parfaite maman cinglante,laparfaitemamancinglante,527194514089238,#527194514089238,1153,3604682,"3126,4",non
"107,3 Rouge",1073Rougefm,233198693378754,#233198693378754,1141,697070,"610,9",non
HABSolumentFan,HABSolumentFAN,191611064197512,#191611064197512,1140,529412,"464,4",non
Journal L'Express de Drummondville,JournalExpressDrummond,111462462235449,#111462462235449,1134,405911,"357,9",oui
La Voix de l'Est,lavoixdelest,180973521937146,#180973521937146,1118,421586,"377,1",oui
ODconneries,odconneries,462699397078050,#462699397078050,1110,1188866,"1071,1",non
LES ETHNIES DE LA COTE D'IVOIRE ET D'AFRIQUE,ethniesdeCI,1176807689007429,#1176807689007429,1101,1643412,"1492,7",non
François Lambert,FrancoisLambertImpulse,241810319242706,#241810319242706,1101,592277,"537,9",non
Showbizz.net,showbizznetqc,511420095548284,#511420095548284,1060,950933,"897,1",non
