page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
BFMTV,BFMTV,43896752783,#43896752783,16384,71859201,"4385,9",oui
Le Parisien,leparisien,36550584062,#36550584062,16290,52837978,"3243,6",oui
La Provence,laprovence,119213845538,#119213845538,9726,22755343,"2339,6",oui
Le Figaro,lefigaro,61261101338,#61261101338,9582,22789553,"2378,4",oui
Foot Mercato,footmercato,103674756374444,#103674756374444,9464,16784140,"1773,5",non
20 Minutes,20minutes,51555073310,#51555073310,9160,30644566,"3345,5",oui
Franceinfo,franceinfo,135112586936434,#135112586936434,8762,19251489,"2197,2",oui
Epoch Times Paris,EpochTimesParis,471602332879791,#471602332879791,8537,27987256,"3278,3",non
Ouest France,ouestfrance,270122530294,#270122530294,8046,16058122,"1995,8",oui
Le Monde,lemonde.fr,14892757589,#14892757589,8011,12964909,"1618,4",oui
beIN SPORTS France,beINSPORTSFrance,301300799953924,#301300799953924,7789,25833801,"3316,7",oui
CNEWS,CNEWSofficiel,76952916976,#76952916976,7788,13142122,"1687,5",oui
FRANCE 24,FRANCE24,153632746935,#153632746935,7689,20087783,"2612,5",oui
L'EQUIPE,lequipe.fr,76283417065,#76283417065,7453,34482622,"4626,7",oui
RT France,RTFrance,1536715766560953,#1536715766560953,7417,15396583,"2075,9",non
L'Express,LExpress,9359316996,#9359316996,7245,14008779,"1933,6",oui
TF1 Le JT,TF1leJT,121764658163520,#121764658163520,6345,16138584,"2543,5",oui
RFI,RFI,67334499441,#67334499441,6293,12043044,"1913,7",oui
France Bleu,reseau.francebleu,113434835339857,#113434835339857,6139,11379117,"1853,6",oui
Demotivateur,demotivateur,252613304456,#252613304456,5711,80736401,14137,non
Le HuffPost,LeHuffPost,284129444969978,#284129444969978,5639,9614878,"1705,1",oui
La Voix du Nord,lavoixdunord,76635774021,#76635774021,5503,9675310,"1758,2",oui
France Culture,franceculture,83625483348,#83625483348,5441,16995621,"3123,6",oui
Football.fr,foot.fr,303175968782,#303175968782,5440,9657886,"1775,3",non
Valeurs actuelles,valeursactuelles.page,299111843523312,#299111843523312,5273,7649221,"1450,6",non
Tonton JO,tontonjofficiel,1590377544558123,#1590377544558123,4929,7751336,"1572,6",non
After Foot RMC,AfterFootRMC,114880941889932,#114880941889932,4811,11167115,"2321,2",non
Oh My Goal - France,ohmygoalfr.kelinetwork,214396342065086,#214396342065086,4802,27564640,"5740,2",non
L'Obs,lenouvelobservateur,198508090036,#198508090036,4756,8511853,"1789,7",oui
LCI,LCI,411124728976705,#411124728976705,4414,11149380,"2525,9",oui
Blaugrana Team,BlaugranaTeamOfficiel,171956440314388,#171956440314388,4371,8360931,"1912,8",non
Actu17,Actu17,584613241559407,#584613241559407,4247,8498082,2001,oui
R A,Rumeursdabidjan,109123525820225,#109123525820225,4194,9573038,"2282,6",non
RTL,RTL,282315205283,#282315205283,4157,5460897,"1313,7",oui
Konbini,konbinifr,48894759275,#48894759275,3955,14413340,"3644,3",oui
France Inter,franceinter,122067514495044,#122067514495044,3877,12010351,"3097,8",oui
RMC Sport,rmcsport,209759635733736,#209759635733736,3758,9384426,"2497,2",oui
Le Meilleur du Football,LemeilleurduFootball92,1394021574173261,#1394021574173261,3691,146312371,"39640,3",non
SudOuest.fr,journalsudouest,58305334711,#58305334711,3445,4777666,"1386,8",oui
Hihihii,quesako.news,393061910840690,#393061910840690,3432,21864946,"6370,9",non
Mediapart,Mediapart.fr,116070051527,#116070051527,3427,9741941,"2842,7",oui
Nice-Matin,Page.NiceMatin,388223307574,#388223307574,3296,5473736,"1660,7",oui
Europe 1,Europe1,223401325619,#223401325619,3283,4725385,"1439,3",oui
Eden Espoir,edenespoirInternational,861357827238871,#861357827238871,3171,10869468,"3427,8",non
Urban HIT,URBANHIT,166340853384728,#166340853384728,3132,27746752,"8859,1",non
Souvienstoi.net,souvienstoi.net,1322052567823156,#1322052567823156,3064,13547920,"4421,6",non
TV Libertés,tvlibertes,767452016616642,#767452016616642,2979,5195755,"1744,1",non
Madame Connasse,Madameconnasse0987654321,369956443175117,#369956443175117,2879,36341190,"12622,9",non
Var-Matin,Page.VarMatin,365009223614,#365009223614,2854,5359855,1878,oui
La femme domine,lafemmedomineOFF,126497365328,#126497365328,2839,11118524,"3916,4",non
Yahoo Actualités,yahooactualites,138207559575213,#138207559575213,2837,4141797,"1459,9",oui
Le Tribunal Du Net,letribunaldunet,278493465501441,#278493465501441,2812,7652408,"2721,3",non
Animaaaaals,animaaaaals,864837603534490,#864837603534490,2785,8794753,"3157,9",non
Rappels Islam,LaPageRappelsIslam,142662841275,#142662841275,2766,7256322,"2623,4",non
Real-France,Rea1France,142790945800492,#142790945800492,2753,11726954,"4259,7",non
France 3 Nord Pas-de-Calais,france3nordpasdecalais,139403099438520,#139403099438520,2683,5916425,"2205,2",oui
Marianne,Marianne.magazine,369717525444,#369717525444,2645,3857701,"1458,5",oui
Cuisine Actuelle,cuisineactuelle,117304031654733,#117304031654733,2634,5003962,"1899,8",non
J'aime la Normandie,LaNormandieETsonHistoire,372691196129557,#372691196129557,2622,4292785,"1637,2",non
France Football,Francefootball.fr,47241018273,#47241018273,2616,7443123,"2845,2",non
Télé Loisirs,teleloisirsfr,126677284014580,#126677284014580,2612,4000035,"1531,4",non
Le Point,lepoint.fr,49173930702,#49173930702,2595,3691261,"1422,5",oui
Brut,brutofficiel,1757782394471400,#1757782394471400,2582,45329911,"17556,1",oui
Le Dauphiné Libéré,ledauphinelibere,122601757780987,#122601757780987,2531,2927232,"1156,6",oui
WeMoms,wemoms.fr,664608920276970,#664608920276970,2472,7160071,"2896,5",non
Libération,Liberation,147126052393,#147126052393,2450,3059408,"1248,7",oui
Midi Libre,midilibre,183518182558,#183518182558,2420,3578781,"1478,8",oui
FranceLibre24.net,FLibre24.net,400792813872966,#400792813872966,2350,2114049,"899,6",non
VDM,viedemerde,18750854879,#18750854879,2313,10984183,"4748,9",non
Soutien aux Forces De l'Ordre,soutienauxforcesdelordre,584580101687595,#584580101687595,2298,5154879,"2243,2",non
Courrier international,courrierinternational.com,142114104887,#142114104887,2286,3826474,"1673,9",oui
Esprit spiritualité et métaphysiques,espritsciencemetaphysiques,750156981681777,#750156981681777,2281,10842182,"4753,3",non
Actu Toulouse,actutoulouse,355902537821431,#355902537821431,2259,3506918,"1552,4",oui
Orange Football Club,orangefootballclub,200960989098,#200960989098,2229,9167432,"4112,8",non
Sciences et Avenir,sciencesetavenir,194705390569710,#194705390569710,2226,4196496,"1885,2",oui
Les chemins d'Eléonore,LesCheminsdEleonore,1037975259667817,#1037975259667817,2219,13098961,"5903,1",non
National Geographic,NatGeoFR,106750996025532,#106750996025532,2185,5795689,"2652,5",non
CANAL+ SPORT Afrique,canalplussportafrique,965051400282671,#965051400282671,2129,17242621,"8098,9",oui
Gossip Room,GossipRoom,329781520443961,#329781520443961,2129,13418772,"6302,9",non
Damoclès,DamoclesOrganisation,285521128450125,#285521128450125,2074,5087050,"2452,8",non
Lorraine Actu,lorraineactu,134790909907245,#134790909907245,2069,3112607,"1504,4",oui
Loopsider,Loopsider,424922021243063,#424922021243063,2065,16878809,"8173,8",oui
Textes et Citations.,LesTextesDeZak,264653576981868,#264653576981868,2065,6813703,"3299,6",non
La panthère poétique,panthere.poetique,1650056525253768,#1650056525253768,2061,8923102,"4329,5",non
Outrouverquoiacaen,outrouverquoiacaen,390083047744447,#390083047744447,2060,4402264,2137,non
Aufeminin,aufeminin,22036796848,#22036796848,2057,6365993,"3094,8",non
La SPA - Refuge Le Garric,lasparefugelegarric,404621206343288,#404621206343288,2051,1664064,"811,3",non
Croq'Kilos by M6,croqkilosbyM6,1650981281843101,#1650981281843101,2044,6156946,"3012,2",non
AlloCiné,allocine,107276450147,#107276450147,2033,7044807,"3465,2",non
So Foot,so.foot,10778364510,#10778364510,2015,2412838,"1197,4",non
Team Cristiano Ronaldo France,TeamCristianoRonaldoFrance,155017091927957,#155017091927957,2008,11892168,"5922,4",non
Hitek,hitekfr,652509114777647,#652509114777647,1991,4407106,"2213,5",non
OMG by Ohmymag,OMGbyOhmymag,390630740360,#390630740360,1990,7432844,"3735,1",non
Pensées du cœur.,Dramaheureuse,1104851772867646,#1104851772867646,1982,3675535,"1854,5",non
Nicolas Dupont-Aignan,nicolasdupontaignan,90458392990,#90458392990,1981,12662515,6392,non
AdoreDieu,AdoreDieu7,149042771773462,#149042771773462,1968,4086123,"2076,3",non
ELLE,elle,38657880749,#38657880749,1955,4327468,"2213,5",oui
Cerveaux non disponibles,cerveauxnondisponibles,345110412254517,#345110412254517,1954,11165498,"5714,2",non
Rapghetto,rapghetto,142036832529483,#142036832529483,1937,5416704,"2796,4",non
The délire,thedelire.me,1667111256899727,#1667111256899727,1929,7641007,"3961,1",non
Konbini news,konbininews,183081005507412,#183081005507412,1922,14879810,"7741,8",oui
Eurosport,EurosportFR,1433845536866876,#1433845536866876,1915,4032874,"2105,9",oui
L'Indépendant,lindependant.fr,52697519148,#52697519148,1914,2312936,"1208,4",oui
Révolution Permanente,RevolutionPermanente.fr,732277203520737,#732277203520737,1910,3195885,"1673,2",non
76 actu,76actu,500842723261631,#500842723261631,1890,2968076,"1570,4",oui
Je Soutiens Les Forces de l'Ordre,soutienpoliciers,990953491032704,#990953491032704,1871,1964843,"1050,2",non
Turbo,Turbo.fr,133205910049618,#133205910049618,1847,4756105,2575,non
Tous ensemble,Tousensemblee,1756828927951293,#1756828927951293,1815,6913497,"3809,1",non
BrazzaNews,brazzanews,489412391243562,#489412391243562,1809,1613261,"891,8",non
PiedsCarrés,PiedsCarres,228653467232302,#228653467232302,1808,10972773,6069,non
Voici,voici,162135926640,#162135926640,1789,3238910,"1810,5",non
France 3 Occitanie,France3Occitanie,152342924830630,#152342924830630,1783,2977628,1670,oui
Algérie Part,algeriepart,1346317175445788,#1346317175445788,1782,2052253,"1151,7",non
La Place du Village,EmissionLaPlaceDuVillage,593271704172216,#593271704172216,1779,5374363,3021,non
Macron Dégage,DegageMacron,139103829608146,#139103829608146,1779,3983783,"2239,3",non
l'Humanité,humanite.fr,254585183694,#254585183694,1777,2250372,"1266,4",oui
Mr Mondialisation,M.Mondialisation,177043642312050,#177043642312050,1775,11113157,"6260,9",non
RFI Afrique,RFI.Afrique,112197535535592,#112197535535592,1775,2025461,"1141,1",oui
Dernières Nouvelles d'Alsace - DNA,DNAlsace,19004867327,#19004867327,1753,2093121,1194,oui
Grandes Gueules RMC,GGRMC,123493081016426,#123493081016426,1719,3281670,"1909,1",non
Les Echos,lesechos,123440511000645,#123440511000645,1717,2054221,"1196,4",oui
Touche Pas à Mon Poste (TPMP),TPMPTV,109196765786671,#109196765786671,1716,5875671,"3424,1",non
Kop Des Parisiens,PSGexplosif,437121786490698,#437121786490698,1716,2925257,"1704,7",non
Olympique Lyonnais - OL,olympiquelyonnais,250938593971,#250938593971,1701,6776585,"3983,9",non
L'essentiel Online FR,lessentielonline,101750273236170,#101750273236170,1695,1737921,"1025,3",non
TWOG,TWOGfr,658458920834994,#658458920834994,1694,3009965,"1776,8",non
Jean Marc Morandini,jmmorandini,133417860067582,#133417860067582,1687,1620479,"960,6",non
GOR Tv,GbagboOuRienTv,1946158448950501,#1946158448950501,1686,2587079,"1534,4",non
Woopets,woopets,119244478112537,#119244478112537,1683,5038303,"2993,6",non
La - MAMA,madamelacoach2,595505717457540,#595505717457540,1677,2223152,"1325,7",non
L'Est Républicain,estrepublicain,190366851765,#190366851765,1664,1697981,"1020,4",oui
Remy Ngono,RemyNgonofficiel,919395438073615,#919395438073615,1663,2400234,"1443,3",non
Mouv',MouvRadio,102387915697,#102387915697,1655,3319789,"2005,9",non
Plus Belle La Vie,plusbellelavie,361427493869463,#361427493869463,1649,4368658,"2649,3",non
