posts/typeInteraction,Belgique-media,Belgique-nonmedia,Canada-media,Canada-nonmedia,France-media,France-nonmedia,Suisse-media,Suisse-nonmedia
posts,292062,609869,123876,274195,371883,1178885,150260,270411
partages,15628629,67337347,20539067,53759539,195864331,697730250,3747746,8976224
commentaires,13799393,25357725,23105330,37944323,121998147,312628152,2863017,3818335
likes,26346803,117861241,25917811,106601096,340948596,1627291913,5811256,18951111
love,2345625,17768124,4136762,19729871,33077139,220046102,577133,3122222
wow,1347510,1423793,2986713,2022906,21296483,28636195,547768,733519
haha,3062420,12720443,3682555,11558836,30753318,168727343,609646,1012784
colere,4334534,3212960,4798169,3181511,60602024,78258975,955333,501623
tristesse,4609224,3976738,5759901,3438264,48880809,60542308,1053869,426611
solidarite,824901,2389940,1035734,2627499,8511132,26083026,149507,217805
