page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Le Nouvelliste,nouvelliste,202196693162175,#202196693162175,14466,1355909,"93,7",oui
ArcInfo,arcinfofanpage,178419688871594,#178419688871594,13554,823336,"60,7",oui
La Côte,LaCoteJournal,106842592684027,#106842592684027,9998,313039,"31,3",oui
24heures,24heures.ch,"1,01501007713355E+016",#10150100771335484,9615,755270,"78,6",oui
LeMatin.ch,lematin.ch,107915992569379,#107915992569379,8277,1674656,"202,3",oui
Tribune de Genève,tdg.ch,105188432853984,#105188432853984,8145,1233704,"151,5",oui
Heidi.news,Heidi.news,317960665446828,#317960665446828,7916,90775,"11,5",oui
RTSinfo,RTSinfo,187137948116068,#187137948116068,6590,2487219,"377,4",oui
Horoscope du jour,horoscopedujour.ch,1112735078760239,#1112735078760239,5803,360953,"62,2",non
20 minutes online,20minutesonline,110766378956229,#110766378956229,5792,2959614,511,oui
Te rappelles-tu,rappelletoi,394952680553557,#394952680553557,5194,1934293,"372,4",non
J'aime rire 5,waouh.amour,1518594595037180,#1518594595037180,4798,9061,"1,9",non
Waouh - Football,waouh.foot,1478386139071197,#1478386139071197,4796,2150,"0,4",non
Humour de jeunes - Info couple et séduction,waouh.infos,255763717958086,#255763717958086,4792,32714,"6,8",non
Connasse et Jalouse by Waouhmag,waouh.sun,1503721389851653,#1503721389851653,4789,92214,"19,3",non
Waouh - Mag,waouh.life,163930810733289,#163930810733289,4788,20590,"4,3",non
Waouh - Humour,waouh.humour,1531498336941192,#1531498336941192,4787,85030,"17,8",non
Seulement - Waouh,waouh.actualite,333511203463984,#333511203463984,4786,14337,3,non
Libre by Waouhmag,waouh.fun,127192310640576,#127192310640576,4786,39153,"8,2",non
Waouh - Galaxy,waouh.galaxy,966989226651479,#966989226651479,4786,402,"0,1",non
Codes de jalouses.,waouh.jalouse,277579488924853,#277579488924853,4786,1067,"0,2",non
Waouhmag.com,waouh.lemag,1665291410448984,#1665291410448984,4786,31106,"6,5",non
Sais-tu que? Version Amour,waouh.love,332074376901171,#332074376901171,4784,3047,"0,6",non
"Toi, et seulement toi.",waouh.toi,424802937649173,#424802937649173,4783,22178,"4,6",non
Waouh - Rigolo,waouh.rigolo,1727632297531647,#1727632297531647,4780,37900,"7,9",non
LeMatin.ch - Sports,lematinchsports,1408195665900241,#1408195665900241,4727,21667,"4,6",oui
QUOTIDIEN LA LIBERTÉ,laliberte.ch,288448691670,#288448691670,4713,386572,82,oui
Waouh - Emotion,waouh.emotion,1915361785390230,#1915361785390230,4623,160849,"34,8",non
Waouh - Insolite,waouh.insolite,1821172418136114,#1821172418136114,4621,375529,"81,3",non
Votre-horoscope,waouh.horoscope,109387673096706,#109387673096706,4617,219118,"47,5",non
Infos couples et séduction,waouh.couple,276397726053,#276397726053,4434,46223,"10,4",non
Waouh - Lifestyle,waouh.lifestyle,254248714981912,#254248714981912,4394,180718,"41,1",non
Waouh - Détente,waouh.detente,461944430639497,#461944430639497,4121,545004,"132,3",non
Grands-mamans.com,grandsmamans,484374815047957,#484374815047957,3773,84975,"22,5",non
20 minutes Online-Sports,20minutessports,102628633120772,#102628633120772,3651,24260,"6,6",oui
RFJ.CH,RFJ.CH,174202395967824,#174202395967824,3191,167571,"52,5",oui
RTN.CH,RTN.CH,110792602343067,#110792602343067,3061,119486,39,oui
Pet Alert Valais,Pet.Alert.Valais.Switzerland,1430194383866867,#1430194383866867,2962,265159,"89,5",non
AGEFI Suisse,ageficom,412560358817737,#412560358817737,2901,23937,"8,3",non
Rhône FM Info,rhonefminfo,154502858290960,#154502858290960,2697,326070,"120,9",oui
Forum Économique Mondial,weffrancais,1505217099531429,#1505217099531429,2643,1171794,"443,4",non
LFM - La Radio,lfm.ch,316618539370,#316618539370,2637,109047,"41,4",oui
RJB.ch,RJB.ch,103550759736590,#103550759736590,2632,59958,"22,8",oui
Trust My Science,TrustMyScience,691548691002147,#691548691002147,2579,5641255,"2187,4",non
Canal9,canal9valais,213235655393790,#213235655393790,2466,252546,"102,4",oui
La Bible,Bibles,37858553537,#37858553537,2459,2995389,"1218,1",non
Le Temps,letemps.ch,319393291423771,#319393291423771,2427,309860,"127,7",oui
Canal Alpha,canalalpha,425189047514837,#425189047514837,2364,43571,"18,4",oui
Bilan,MagazineBilan,81806132468,#81806132468,2324,14640,"6,3",oui
La Télé,latele.ch,107635496735,#107635496735,2101,106152,"50,5",oui
Léman Bleu,lemanbleutv,177350425728155,#177350425728155,2078,760490,366,oui
Radio Lac,RadioLacOfficiel,245059812190563,#245059812190563,1841,57505,"31,2",oui
Ch-Quizz.com FR,frchquizzcom,700299450102782,#700299450102782,1826,246462,135,non
Selfies apres le sexe,selfiesfrancetos,1564803627104918,#1564803627104918,1823,5228,"2,9",non
Femina,femina.ch,122445811103539,#122445811103539,1691,24461,"14,5",oui
Le Courrier,quotidienlecourrier,146891072053583,#146891072053583,1684,57038,"33,9",oui
Le Matin Dimanche,lematindimanche,155665344444893,#155665344444893,1439,20247,"14,1",oui
Radio Cité Genève,radiocitegeneve,146857920442,#146857920442,1413,10550,"7,5",oui
One FM,onefm.ch,181280616950,#181280616950,1386,77510,"55,9",non
MySports - Home of Sports - FR,mysports.ch.fr,648564882004086,#648564882004086,1383,61393,"44,4",oui
"Alger dans les années 1970 ""L'Algérie entre hier, aujourd'hui et en avenir""",Alger1970,448047565265665,#448047565265665,1359,19963,"14,7",non
République et Canton de Neuchâtel,cantonneuchatel,219663228093554,#219663228093554,1326,158129,"119,3",non
European Rugby Champions Cup,europeanrugbychampionscupFR,890121724417806,#890121724417806,1297,98427,"75,9",non
swissinfo.ch en français,swissinfochenfrancais,1121677184537128,#1121677184537128,1269,35188,"27,7",oui
228 & AfrikaExclu,228exclu,493808700721116,#493808700721116,1243,214458,"172,5",non
20 minutes Lifestyle,20minuteslifestyle,915784505131355,#915784505131355,1219,2241,"1,8",non
MyMontreux.ch,mymontreux.ch,237839532967718,#237839532967718,1180,137255,"116,3",oui
loisirs.ch,www.loisirs.ch,158364341146,#158364341146,1174,180057,"153,4",non
RTS Sport,RTSsport.ch,443599412376535,#443599412376535,1120,193706,173,oui
"Construire Vevey, avec vous et pour vous",construirevevey,156917614337285,#156917614337285,1114,45333,"40,7",non
Journal de Morges,www.journaldemorges.ch,353506443379,#353506443379,1114,52861,"47,5",oui
RadioFr. Fribourg,radiofrfribourg,296076090533998,#296076090533998,1106,119758,"108,3",non
MAD Club - Lausanne,madlausanne,19376668823,#19376668823,1069,52132,"48,8",non
Servette FC,servettefootballclub,10985463233,#10985463233,973,185946,"191,1",non
Animal mon Egal,animal.mon.egal,891377860973751,#891377860973751,947,260594,"275,2",non
La Salamandre,revue.la.salamandre,108555852500813,#108555852500813,907,420035,"463,1",non
LeaderNews CI,cileadernews,322591071209401,#322591071209401,883,22622,"25,6",non
GaultMillau Suisse,gaultmillau.suisse,170169220186859,#170169220186859,873,42058,"48,2",non
Lingalamania-Infos.Net,lingalamania,230559837150245,#230559837150245,845,1145,"1,4",non
Terre&Nature,terreetnature,8416479113,#8416479113,827,19857,24,oui
Sortir.lenouvelliste.ch,sortir.lenouvelliste.ch,360316287708202,#360316287708202,818,7371,9,oui
Les Verts Genevois,vertsgenevois,238982909481105,#238982909481105,772,31027,"40,2",non
Rouge FM,rougefm,248457349395,#248457349395,768,18174,"23,7",non
World Opinions فضاء الآراء,WorldOpinions,394597260636714,#394597260636714,768,2633,"3,4",non
Qooking,Qooking.Suisse,461698993920628,#461698993920628,749,46377,"61,9",non
RADIO TELEVISION SUISSE (RTS),rts.ch,423437290273,#423437290273,741,559081,"754,5",oui
UDC Genève,udc.geneve,781744545208303,#781744545208303,740,27476,"37,1",non
FC Lausanne-Sport,lausannesport,108442522528131,#108442522528131,738,73554,"99,7",non
RTS Culture,RTSCulture.ch,171784376174148,#171784376174148,738,44838,"60,8",oui
Ville de Neuchâtel,neuchatelville,1755548168039581,#1755548168039581,724,259582,"358,5",non
L'illustré,Magazine.Illustre,217500411636139,#217500411636139,713,57291,"80,4",non
Allnews,allnews.ch,320197208449462,#320197208449462,711,20033,"28,2",oui
"La Chaux-de-Fonds, Métropole horlogère",chauxdefonds,47799983977,#47799983977,703,69878,"99,4",non
Lausanne Cités,LausanneCites,144683325692334,#144683325692334,699,4912,7,oui
TeleBielingue,TeleBielingue,148766008011,#148766008011,687,19998,"29,1",oui
Centre d'Accueil Universel - Suisse,egliseuniversellesuisse,1415203962024943,#1415203962024943,679,38691,57,non
Lafamily.ch,lafamily.ch,107265792675222,#107265792675222,676,2129,"3,1",non
sortir.arcinfo.ch,sortir.arcinfo.ch,1780658225490344,#1780658225490344,671,6742,10,oui
Cinepel,cinepel,548501168556834,#548501168556834,658,3179,"4,8",non
Culture Valais Kultur Wallis,CultureValais.KulturWallis,294874720527082,#294874720527082,658,7236,11,non
Rhône FM,rhonefm,180996875265624,#180996875265624,653,66694,"102,1",non
Amnesty International Suisse,Amnesty.Suisse,166506196694414,#166506196694414,646,64259,"99,5",non
mood collection,mood.collection,34566518154,#34566518154,646,45276,"70,1",non
En VRAIS C'la Hess,Clahess13,1548001338862829,#1548001338862829,633,81781,"129,2",non
"Grève des femmes, grève féministe - Genève",GFgeneve,250184785844061,#250184785844061,619,33276,"53,8",non
FC Sion,FCSion,128099090117,#128099090117,618,87377,"141,4",non
Infrarouge,RTSinfrarouge,140726202632191,#140726202632191,615,76078,"123,7",non
Ville de Lausanne,villedelausanne,121151444628067,#121151444628067,613,76165,"124,2",non
FCBarcelone French,FCBarceloneFre,102941511249623,#102941511249623,611,216280,354,non
QoQa,qoqa.suisse,170569503003,#170569503003,595,70483,"118,5",non
cominmag,cominmag,123275465297,#123275465297,587,2084,"3,6",non
RTSreligion,RTSReligion,588773317816107,#588773317816107,587,3059,"5,2",oui
PetAlert 74 Haute-Savoie,petalert74.fr,298231280660992,#298231280660992,582,22285,"38,3",non
Qwine,Qwine.Suisse,391487777546856,#391487777546856,579,7681,"13,3",non
Armée suisse,armee.ch.fr,267181137305927,#267181137305927,576,138559,"240,6",non
Lausanne Hockey Club,LausanneHC,150009791716481,#150009791716481,570,66621,"116,9",non
RadioTonic,radiotonic.ch,475886769228850,#475886769228850,570,2448,"4,3",non
Anthony Desonpere,ADeSonPere,100057498878242,#100057498878242,560,228334,"407,7",non
Genève Terroir,GeneveTerroir,605594456132868,#605594456132868,556,21664,39,non
Ma Planète,rtsmaplanete,499937730353338,#499937730353338,554,85340,154,oui
Qids,qids.suisse,543292022544584,#543292022544584,548,19838,"36,2",non
Extinction Rebellion Lausanne,xrlausanne,1588694017942509,#1588694017942509,547,39822,"72,8",non
Revue Militaire Suisse,revuemilitairesuisse,481739188676483,#481739188676483,534,24830,"46,5",non
European Rugby Challenge Cup,europeanrugbychallengecupFR,972303082832882,#972303082832882,521,8783,"16,9",non
